Tên học bổng,Link,Expected slot/Acceptance Rate (optional),Ranking of the scholarship (optional),"Loại học bổng (merit-based, need-based,..)",Đối tượng,Trường áp dụng,degree,eligible_nationalities,"Thông tin cụ thể học bổng (Range tiền, số lượng học bổng, giá trị học bổng)",Điều kiện Apply,deadlines,Insight of the scholarship
DAAD EPOS (Development-Related Postgraduate Courses) 2026 (Fully Funded),https://www.daad.de/en/information-services-for-higher-education-institutions/further-information-on-daad-programmes/epos/,,,Government-funded,"Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch.",The German Federal Foreign Office,Master's and PhD,All Nationalities,"This government fully funded scholarship for international students covers the following: | Full tuition fee waiver | Health Insurance | A monthly stipend of €934 for Master's students | Monthly stipend of €1,300 for Ph.D. candidates | One-time research allowance | Family benefits | Monthly rent subsidy under certain circumstances | Language Course Funding (for up to 6 months)","Hold a Bachelor's degree (usually a four-year course) in a relevant field | Be a national of an eligible developing or newly industrialized country (OECD DAC list) | Have at least two years of relevant professional experience after the Bachelor's degree, ideally in a development-related field | Show above-average academic results in the first degree (top third of the class) | Demonstrate clear motivation for the chosen course and a plan to apply the training to development work in the home country/region after graduation | Meet the language requirements of the chosen course (commonly IELTS 6.0 or equivalent) | Not have lived in Germany for more than 15 months at the time of application","Now that you’re familiar with the application procedure, it’s time to know the application dates! Knowing the dates for DAAD EPOS (Development-Related Postgraduate Courses) will help you prepare early and it will also give you the time you need to put together a competitive application.","Học bổng toàn phần có mức độ hỗ trợ rất toàn diện, bao trùm hầu hết các khoản chi phí du học. Điểm cộng đáng chú ý là học bổng còn bao gồm hỗ trợ cho gia đình/người phụ thuộc, kinh phí nghiên cứu riêng, bảo hiểm y tế những khoản này không phải học bổng nào cũng có, giúp giảm đáng kể chi phí phát sinh ngoài học phí. Học bổng chính phủ thường có quy trình xét duyệt nhiều vòng, mức độ cạnh tranh cao, và đôi khi đi kèm yêu cầu cam kết (về nước làm việc, gắn bó với lĩnh vực tài trợ...) sau khi tốt nghiệp. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Có hạn nộp hồ sơ rõ ràng nên lên kế hoạch chuẩn bị giấy tờ (bảng điểm, thư giới thiệu, bài luận...) sớm trước thời hạn để tránh bị động vào phút chót."
Graduate Assistantship at Indiana University of Pennsylvania 2026 (Fully Funded),https://www.iup.edu/admissions/graduate/financialaid/graduate-assistantships-at-iup.html,,,Assistantship,"Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Indiana University of Pennsylvania,Master's and PhD,All Nationalities,This fully funded scholarship for international students covers the following: | Up to 100% of tuition fees | A monthly stipend,You just need to be an international Master's and Ph.D. student or applicant of Indiana University of Pennsylvania.,"The great news is that there is no specific deadline to apply for
  Graduate Assistantship!
  While there are no specific dates, it’s important to apply before the Indiana University of Pennsylvania admission deadlines .
  Here are the deadlines: | Master's Deadline (Fall): July 1, 2026 (Different Master's programs have different deadlines) | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng toàn phần có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Đây thực chất là một vị trí bán thời gian (trợ giảng/trợ lý nghiên cứu) đi kèm học bổng, nên yếu tố then chốt là sự phù hợp với khoa/bộ môn và năng lực ngôn ngữ để đảm nhận công việc giảng dạy/nghiên cứu, không chỉ điểm số. Khối lượng giờ làm việc bắt buộc mỗi tuần có thể ảnh hưởng đến thời gian học tập. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Đây là học bổng tại một trường thuộc nhóm đại học hàng đầu thế giới, vừa khó cạnh tranh hơn nhưng cũng mang lại giá trị lớn cho hồ sơ học thuật và sự nghiệp về sau. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Graduate Assistantships at University of Tennessee at Chattanooga 2026 (Fully Funded),https://www.utc.edu/research/graduate-school/student-resources/graduate-assistantships,,,Assistantship,"Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch; sẵn sàng đảm nhận công việc trợ giảng/trợ lý nghiên cứu.",University of Tennessee at Chattanooga,Master's and PhD,All Nationalities,"This fully funded scholarship for international students covers the following: | A stipend valued at $4,500, paid on a regular basis as compensation for the service provided each term of the appointment | A waiver of the associated maintenance fees for the fall and spring semesters | International tuition fee waiver similar to out-of-state tuition","A graduate student enrolled on a full-time basis (up to 12 hours in the fall and spring semesters and 6 hours in the summer term) to a graduate degree program and, in good academic standing to fill an assistantship position | Able to maintain full-time status (20 hours a week) through an entire semester when holding a graduate assistantship | In a position to demonstrate satisfactory advancement in the academic program to retain an assistantship position","The great news is that there is no specific deadline to apply for
  Graduate Assistantships!
  While there are no specific dates, it’s important to apply before the University of Tennessee at Chattanooga admission deadlines .
  Here are the deadlines: | Master's Deadline (Fall): July 1, 2026 | Master's Deadline: Accepts Application All Year | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng toàn phần có mức độ hỗ trợ khá đầy đủ, vượt ra ngoài mức học phí cơ bản. Đây thực chất là một vị trí bán thời gian (trợ giảng/trợ lý nghiên cứu) đi kèm học bổng, nên yếu tố then chốt là sự phù hợp với khoa/bộ môn và năng lực ngôn ngữ để đảm nhận công việc giảng dạy/nghiên cứu, không chỉ điểm số. Khối lượng giờ làm việc bắt buộc mỗi tuần có thể ảnh hưởng đến thời gian học tập. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Presidential Academic Scholarship at Jackson State University 2026 (Fully Funded),https://sites.jsums.edu/scholarships/freshmen.htm,,,Merit-based,"Sinh viên quốc tế bậc Cử nhân, mọi quốc tịch; có thành tích học tập nổi bật.",Jackson State University,Bachelor's,All Nationalities,This fully funded scholarship for international students covers the following: | 100% of tuition fees | Room and Board costs | Student fees and levies | Textbooks,Students with a GPA of 3.50 | Students with an ACT score equal to or above 32 or an SAT score equals to or above 1420,"The great news is that there is no specific deadline to apply for
  Presidential Academic Scholarship!
  While there are no specific dates, it’s important to apply before the Jackson State University admission deadlines .
  Here are the deadlines: | Bachelor's Deadline (Fall): August 21, 2026","Học bổng toàn phần có mức độ hỗ trợ khá đầy đủ, vượt ra ngoài mức học phí cơ bản. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Chevening Scholarships 2026 (Fully Funded),https://www.chevening.org/scholarships/,,,Government-funded,"Sinh viên quốc tế bậc Thạc sĩ, quốc tịch chưa xác định (xem chi tiết tại nguồn).",Foreign and Commonwealth and Development Office and Partners,Master's,All Nationalities,"This government fully funded scholarship for international students covers the following: | 100% of tuition fees | A monthly stipend covering accommodation fees and living expenses | Economy flight from and to your country of residence | Departure, arrival, and travel top up allowances | Visa fees | £75 for Tuberculosis tests if applicable","Be a citizen of a Chevening-eligible country or territory (UK citizens/dual British citizens are not eligible, except British Overseas Territories citizens or BN(O) holders applying from Hong Kong) | Have at least 2,800 hours (about two years) of work experience gained after completing the undergraduate degree | Hold an undergraduate degree that qualifies for entry to a UK master's programme, completed at least two years before the application deadline | Apply to three different eligible UK university courses and hold an unconditional offer from at least one by the published deadline | Commit to returning to the home country for a minimum of two years after the scholarship ends | Not currently hold refugee status in a non-Chevening-eligible country | Not be a current/recent employee or close relative of UK government bodies, British Embassies/High Commissions, the British Council, sponsoring universities, or Chevening partner organisations | Not have previously studied in the UK on another UK-government-funded scholarship","Now that you’re familiar with the application procedure, it’s time to know the application dates! Knowing the dates for Chevening Scholarships will help you prepare early and it will also give you the time you need to put together a competitive application. | Scholarship Application Deadline: October 7, 2025","Học bổng toàn phần có mức độ hỗ trợ rất toàn diện, bao trùm hầu hết các khoản chi phí du học. Điểm cộng đáng chú ý là học bổng còn bao gồm vé máy bay quốc tế, chi phí đi lại, chỗ ở/ký túc xá những khoản này không phải học bổng nào cũng có, giúp giảm đáng kể chi phí phát sinh ngoài học phí. Học bổng chính phủ thường có quy trình xét duyệt nhiều vòng, mức độ cạnh tranh cao, và đôi khi đi kèm yêu cầu cam kết (về nước làm việc, gắn bó với lĩnh vực tài trợ...) sau khi tốt nghiệp. Có hạn nộp hồ sơ rõ ràng nên lên kế hoạch chuẩn bị giấy tờ (bảng điểm, thư giới thiệu, bài luận...) sớm trước thời hạn để tránh bị động vào phút chót."
Graduate Scholarship at Monash University 2026 (Fully Funded),https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/monash-graduate-scholarship-mgs?international=true#scholarship-details,,,"Merit- based, need-based","Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Monash University,Master's and PhD,All Nationalities,"This fully funded scholarship for international students covers the following: | A living stipend of $37,145 AUD per year for up to 4 years | A relocation stipend of $2,000 AUD for eligible students | Full Tuition Waivers are also available",You just need to be an international Master's and Ph.D. student or applicant of Monash University.,"For Graduate Scholarship, you may apply on these dates: | Scholarship Application Deadline:
  March 31, 2026 | Scholarship Application Deadline:
  August 31, 2026","Học bổng toàn phần có mức độ hỗ trợ khá đầy đủ, vượt ra ngoài mức học phí cơ bản. Điểm cộng đáng chú ý là học bổng còn bao gồm phụ cấp chuyển chỗ ở những khoản này không phải học bổng nào cũng có, giúp giảm đáng kể chi phí phát sinh ngoài học phí. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Có hạn nộp hồ sơ rõ ràng nên lên kế hoạch chuẩn bị giấy tờ (bảng điểm, thư giới thiệu, bài luận...) sớm trước thời hạn để tránh bị động vào phút chót."
Graduate Assistantship at Case Western Reserve University 2026 (Fully Funded),https://english.case.edu/graduate-study-in-english/assistantships-and-financial-aid/,,,Assistantship,"Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Case Western Reserve University,Master's and PhD,All Nationalities,"This fully funded scholarship for international students covers the following: | Full tuition fee waivers | $24,000 stipend for the first year disbursed over 10.5 months ($26,000 starting the second year) | Health insurance for Ph.D. students",You just need to be an international Master's and Ph.D. student or applicant of Case Western Reserve University.,"The great news is that there is no specific deadline to apply for
  Graduate Assistantship!
  While there are no specific dates, it’s important to apply before the Case Western Reserve University admission deadlines .
  Here are the deadlines: | Master's Deadline (Fall): August 1, 2026 (Different Master's programs have different deadlines) | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng toàn phần có mức độ hỗ trợ khá đầy đủ, vượt ra ngoài mức học phí cơ bản. Điểm cộng đáng chú ý là học bổng còn bao gồm bảo hiểm y tế những khoản này không phải học bổng nào cũng có, giúp giảm đáng kể chi phí phát sinh ngoài học phí. Đây thực chất là một vị trí bán thời gian (trợ giảng/trợ lý nghiên cứu) đi kèm học bổng, nên yếu tố then chốt là sự phù hợp với khoa/bộ môn và năng lực ngôn ngữ để đảm nhận công việc giảng dạy/nghiên cứu, không chỉ điểm số. Khối lượng giờ làm việc bắt buộc mỗi tuần có thể ảnh hưởng đến thời gian học tập. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
K.C. Kuok Scholarship at Monash University 2026 (Fully Funded),https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/kc-kuok-scholarship-6073,,,Need-based,"Sinh viên quốc tế bậc Cử nhân, công dân: Brunei, Cambodia, China, Hong Kong, Indonesia, Laos, Malaysia, Myanmar, Philippines, Singapore, Thailand, Timor-Leste, and Vietnam.",Monash University,Bachelor's,"Brunei, Cambodia, China, Hong Kong, Indonesia, Laos, Malaysia, Myanmar, Philippines, Singapore, Thailand, Timor-Leste, and Vietnam","This fully funded scholarship for international students covers the following: | Tuition fees | On-campus accommodation | $14,000 AUD yearly allowance | One-time award of $3,000 AUD | Student visa fees | First incoming flight to Australia during the first year",Incoming international students enrolling full-time in a single degree at Monash | Students coming from a low-income background | Students not enrolling in a double degree,"For K.C. Kuok Scholarship, you may apply on these dates: | Bachelor's Application Deadline:
  June 30, 2026","Học bổng toàn phần có mức độ hỗ trợ rất toàn diện, bao trùm hầu hết các khoản chi phí du học. Điểm cộng đáng chú ý là học bổng còn bao gồm vé máy bay quốc tế, chỗ ở/ký túc xá, hỗ trợ chi phí visa những khoản này không phải học bổng nào cũng có, giúp giảm đáng kể chi phí phát sinh ngoài học phí. Yếu tố quyết định là minh chứng tài chính (thu nhập gia đình, CSS Profile, sao kê...) chứ không phải điểm số tuyệt đối, nên hồ sơ tài chính cần chuẩn bị kỹ và trung thực. Vì giới hạn theo quốc gia/khu vực, lượng ứng viên cạnh tranh trực tiếp sẽ ít hơn đáng kể so với học bổng mở toàn cầu. Có hạn nộp hồ sơ rõ ràng nên lên kế hoạch chuẩn bị giấy tờ (bảng điểm, thư giới thiệu, bài luận...) sớm trước thời hạn để tránh bị động vào phút chót."
Schwarzman Scholars at Tsinghua University 2026 (Fully Funded),https://www.schwarzmanscholars.org/about/,,,Merit-based,"Sinh viên quốc tế bậc Thạc sĩ, mọi quốc tịch.",Tsinghua University,Master's,All Nationalities,This fully funded scholarship for international students covers the whole study cost of a 1-year degree in the selected study area.,Students with an excellent academic record | Those who meet the minimum academic requirements | Willing to readily embrace other cultures and perspectives | Interested in driving the global progress | Able to lead with integrity | Highly proficient in the English language,"For Schwarzman Scholars, you may apply on these dates: | Master's Application Deadline (US and Global Candidates):
  September 10, 2026","Học bổng toàn phần có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Đây là học bổng tại một trường thuộc nhóm đại học hàng đầu thế giới, vừa khó cạnh tranh hơn nhưng cũng mang lại giá trị lớn cho hồ sơ học thuật và sự nghiệp về sau. Có hạn nộp hồ sơ rõ ràng nên lên kế hoạch chuẩn bị giấy tờ (bảng điểm, thư giới thiệu, bài luận...) sớm trước thời hạn để tránh bị động vào phút chót."
Free Tuition at University of Kassel 2026 (Full Tuition),https://www.uni-kassel.de/uni/en/international-service/coming-to-kassel/studying-in-kassel/during-studies/semester-fee-1,,,"Merit- based, need-based","Sinh viên quốc tế bậc Cử nhân, Thạc sĩ và Tiến sĩ, mọi quốc tịch.",University of Kassel,"Bachelor's, Master's, and PhD",All Nationalities,"This full tuition scholarship for international students covers full tuition fees for four years for bachelors degrees, two years for masters degrees, and up to six years for doctorate degrees.","You just need to be an international Bachelor's, Master's, and Ph.D. student or applicant of University of Kassel.","The great news is that there is no specific deadline to apply for
  Free Tuition!
  While there are no specific dates, it’s important to apply before the University of Kassel admission deadlines .
  Here are the deadlines: | Bachelor's Deadline (Summer): January 15, 2026 | Bachelor's Deadline (Winter): July 15, 2026 | Master's Deadline (Summer): January 15, 2026 (Different Master's programs have different deadlines) | Master's Deadline (Winter): July 15, 2026 (Different Master's programs have different deadlines) | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
