review_id,target_institution_id,target_programme_id,target_institution,target_programme,target_url,country,degree_level,discipline,field_name,direct_value,direct_status,final_value,resolution_status,resolution_level,donor_institution,donor_programme,donor_value,donor_scope,compatibility_reason,support_count,combined_uncertainty,target_scope,audience,academic_cycle,currency,basis,provider,source_url,evidence_text,raw_document_id,abstention_reason,review_verdict,review_comment,reviewer,reviewed_at,critical_error
HQA-00001,oxford-uk-canary,00164ee0-24b0-5e69-8c8b-979d08113044,Oxford University,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,UK,bachelor,computer science,programme_identity,Mathematics and Computer Science (3 or 4 years),ACCEPTED,Mathematics and Computer Science (3 or 4 years),DIRECT_ACCEPTED,DIRECT,,,,,exact target programme assertion,1,,programme,all,,,,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,Mathematics and Computer Science (3 or 4 years) at Oxford University,398c8e02-6cc2-46be-bf79-61959429ec7f,,,,,,
HQA-00002,oxford-uk-canary,00164ee0-24b0-5e69-8c8b-979d08113044,Oxford University,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,UK,bachelor,computer science,credential,MMathCompSci (Hons),ACCEPTED,MMathCompSci (Hons),DIRECT_ACCEPTED,DIRECT,,,,,exact target programme assertion,1,,programme,all,,,,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,MMathCompSci (Hons) Mathematics and Computer Science (3 or 4 years),398c8e02-6cc2-46be-bf79-61959429ec7f,,,,,,
HQA-00003,oxford-uk-canary,00164ee0-24b0-5e69-8c8b-979d08113044,Oxford University,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,UK,bachelor,computer science,programme_status,,,,MISSING,,,,,,NO_COMPATIBLE_DONOR,,,programme,,,,,,,,,NO_EXTERNAL_FIELD_EVIDENCE,,,,,
HQA-00004,oxford-uk-canary,00164ee0-24b0-5e69-8c8b-979d08113044,Oxford University,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,UK,bachelor,computer science,academic_cycle,,,,MISSING,,,,,,NO_COMPATIBLE_DONOR,,,programme,,,,,,,,,NO_EXTERNAL_FIELD_EVIDENCE,,,,,
HQA-00005,oxford-uk-canary,00164ee0-24b0-5e69-8c8b-979d08113044,Oxford University,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,UK,bachelor,computer science,tuition,,,,ABSTAINED,,,,,,NO_COMPATIBLE_DONOR,,,programme,,,,,,,,,NO_COMPATIBLE_DONOR,,,,,
HQA-00006,oxford-uk-canary,00164ee0-24b0-5e69-8c8b-979d08113044,Oxford University,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,UK,bachelor,computer science,additional_fees,,,,ABSTAINED,,,,,,NO_COMPATIBLE_DONOR,,,programme,,,,,,,,,NO_COMPATIBLE_DONOR,,,,,
HQA-00007,oxford-uk-canary,00164ee0-24b0-5e69-8c8b-979d08113044,Oxford University,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,UK,bachelor,computer science,duration,4 year course,ACCEPTED,4 year course,DIRECT_ACCEPTED,DIRECT,,,,,exact target programme assertion,1,,programme,,,,,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,Length 4 year course,398c8e02-6cc2-46be-bf79-61959429ec7f,,,,,,
HQA-00008,oxford-uk-canary,00164ee0-24b0-5e69-8c8b-979d08113044,Oxford University,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,UK,bachelor,computer science,location,Oxford,ACCEPTED,Oxford,DIRECT_ACCEPTED,DIRECT,,,,,exact target programme assertion,1,,programme,,,,,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,Location : Oxford,398c8e02-6cc2-46be-bf79-61959429ec7f,,,,,,
HQA-00009,oxford-uk-canary,00164ee0-24b0-5e69-8c8b-979d08113044,Oxford University,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,UK,bachelor,computer science,delivery_mode,Full time,ACCEPTED,Full time,DIRECT_ACCEPTED,DIRECT,,,,,exact target programme assertion,1,,programme,,,,,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,Study mode Full time,398c8e02-6cc2-46be-bf79-61959429ec7f,,,,,,
HQA-00010,oxford-uk-canary,00164ee0-24b0-5e69-8c8b-979d08113044,Oxford University,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,UK,bachelor,computer science,programme_language,,,,ABSTAINED,,,,,,NO_COMPATIBLE_DONOR,,,programme,,,,,,,,,NO_COMPATIBLE_DONOR,,,,,
HQA-00011,oxford-uk-canary,00164ee0-24b0-5e69-8c8b-979d08113044,Oxford University,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,UK,bachelor,computer science,career_outcomes,,,"{""data_period"": ""2021-23"", ""measure"": ""meaningfulness"", ""outcome_period"": ""15 months after graduation"", ""percentage"": 90, ""source"": ""Graduate Outcomes survey"", ""statement"": ""My current work is meaningful.""}",HIERARCHICAL_ADVISORY,H3,Oxford University,Computer Science (3 or 4 years),"{""data_period"": ""2021-23"", ""measure"": ""meaningfulness"", ""outcome_period"": ""15 months after graduation"", ""percentage"": 90, ""source"": ""Graduate Outcomes survey"", ""statement"": ""My current work is meaningful.""}",programme,HIERARCHICAL_DONOR_SELECTED,1,0.3403,programme,all,,,,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007774/G400/Full-time/,90% Meaningfulness My current work is meaningful.,0c4dd25b-38b4-4b8d-8afd-2a1be734aafb,,,,,,
HQA-00012,oxford-uk-canary,00164ee0-24b0-5e69-8c8b-979d08113044,Oxford University,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,UK,bachelor,computer science,employment_outcomes,,,"{""audience"": null, ""data_period"": ""2021-23"", ""occupation"": ""Information Technology Professionals"", ""outcome_period"": ""15 months after the course"", ""percentage"": 85, ""source"": ""Graduate Outcomes survey""}",HIERARCHICAL_ADVISORY,H3,Oxford University,Computer Science (3 or 4 years),"{""audience"": null, ""data_period"": ""2021-23"", ""occupation"": ""Information Technology Professionals"", ""outcome_period"": ""15 months after the course"", ""percentage"": 85, ""source"": ""Graduate Outcomes survey""}",programme,HIERARCHICAL_DONOR_SELECTED,1,0.3403,programme,,,,,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007774/G400/Full-time/,85% Information Technology Professionals,0c4dd25b-38b4-4b8d-8afd-2a1be734aafb,,,,,,
HQA-00013,oxford-uk-canary,00164ee0-24b0-5e69-8c8b-979d08113044,Oxford University,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,UK,bachelor,computer science,intakes,,,,ABSTAINED,,,,,,NO_COMPATIBLE_DONOR,,,programme,,,,,,,,,NO_COMPATIBLE_DONOR,,,,,
