review_id,target_institution_id,target_programme_id,target_institution,target_programme,target_url,country,degree_level,discipline,field_name,resolution_level,final_value,target_scope,donor_institution,donor_programme,donor_value,donor_scope,provider,source_url,evidence_text,raw_document_id,support_count,combined_uncertainty,compatibility_reason
HQA-00011,oxford-uk-canary,00164ee0-24b0-5e69-8c8b-979d08113044,Oxford University,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,UK,bachelor,computer science,career_outcomes,H3,"{""data_period"": ""2021-23"", ""measure"": ""meaningfulness"", ""outcome_period"": ""15 months after graduation"", ""percentage"": 90, ""source"": ""Graduate Outcomes survey"", ""statement"": ""My current work is meaningful.""}",programme,Oxford University,Computer Science (3 or 4 years),"{""data_period"": ""2021-23"", ""measure"": ""meaningfulness"", ""outcome_period"": ""15 months after graduation"", ""percentage"": 90, ""source"": ""Graduate Outcomes survey"", ""statement"": ""My current work is meaningful.""}",programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007774/G400/Full-time/,90% Meaningfulness My current work is meaningful.,0c4dd25b-38b4-4b8d-8afd-2a1be734aafb,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-00012,oxford-uk-canary,00164ee0-24b0-5e69-8c8b-979d08113044,Oxford University,Mathematics and Computer Science,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,UK,bachelor,computer science,employment_outcomes,H3,"{""audience"": null, ""data_period"": ""2021-23"", ""occupation"": ""Information Technology Professionals"", ""outcome_period"": ""15 months after the course"", ""percentage"": 85, ""source"": ""Graduate Outcomes survey""}",programme,Oxford University,Computer Science (3 or 4 years),"{""audience"": null, ""data_period"": ""2021-23"", ""occupation"": ""Information Technology Professionals"", ""outcome_period"": ""15 months after the course"", ""percentage"": 85, ""source"": ""Graduate Outcomes survey""}",programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007774/G400/Full-time/,85% Information Technology Professionals,0c4dd25b-38b4-4b8d-8afd-2a1be734aafb,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-00115,manchester-uk-canary,056c787b-cb1e-526e-bb3d-9a731e339a19,The University of Manchester,Data Science,https://discoveruni.gov.uk/course-details/10007798/2571195/Full-time/,UK,bachelor,data science,programme_identity,H3,BSc (Hons) Computer Science,programme,The University of Manchester,Computer Science,BSc (Hons) Computer Science,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007798/28/Full-time/,BSc (Hons) Computer Science,97877c20-4907-4527-80b9-bf0a1837029d,1,0.367,HIERARCHICAL_DONOR_SELECTED
HQA-00116,manchester-uk-canary,056c787b-cb1e-526e-bb3d-9a731e339a19,The University of Manchester,Data Science,https://discoveruni.gov.uk/course-details/10007798/2571195/Full-time/,UK,bachelor,data science,credential,H3,BSc (Hons),programme,The University of Manchester,Computer Science,BSc (Hons),programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007798/28/Full-time/,BSc (Hons) Computer Science,97877c20-4907-4527-80b9-bf0a1837029d,1,0.367,HIERARCHICAL_DONOR_SELECTED
HQA-00121,manchester-uk-canary,056c787b-cb1e-526e-bb3d-9a731e339a19,The University of Manchester,Data Science,https://discoveruni.gov.uk/course-details/10007798/2571195/Full-time/,UK,bachelor,data science,duration,H3,4 year course,programme,The University of Manchester,Computer Science,4 year course,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007798/28/Full-time/,Length 4 year course,97877c20-4907-4527-80b9-bf0a1837029d,1,0.367,HIERARCHICAL_DONOR_SELECTED
HQA-00122,manchester-uk-canary,056c787b-cb1e-526e-bb3d-9a731e339a19,The University of Manchester,Data Science,https://discoveruni.gov.uk/course-details/10007798/2571195/Full-time/,UK,bachelor,data science,location,H3,Main Campus,programme,The University of Manchester,Computer Science,Main Campus,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007798/28/Full-time/,Location : Main Campus,97877c20-4907-4527-80b9-bf0a1837029d,1,0.367,HIERARCHICAL_DONOR_SELECTED
HQA-00123,manchester-uk-canary,056c787b-cb1e-526e-bb3d-9a731e339a19,The University of Manchester,Data Science,https://discoveruni.gov.uk/course-details/10007798/2571195/Full-time/,UK,bachelor,data science,delivery_mode,H3,Full time,programme,The University of Manchester,Computer Science,Full time,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007798/28/Full-time/,Study mode Full time,97877c20-4907-4527-80b9-bf0a1837029d,1,0.367,HIERARCHICAL_DONOR_SELECTED
HQA-00125,manchester-uk-canary,056c787b-cb1e-526e-bb3d-9a731e339a19,The University of Manchester,Data Science,https://discoveruni.gov.uk/course-details/10007798/2571195/Full-time/,UK,bachelor,data science,career_outcomes,H3,"{""metric"": ""work_meaningfulness"", ""percentage"": 80, ""period"": ""15 months after graduation"", ""population"": ""students graduating 2022-23""}",programme,The University of Manchester,Computer Science,"{""metric"": ""work_meaningfulness"", ""percentage"": 80, ""period"": ""15 months after graduation"", ""population"": ""students graduating 2022-23""}",programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007798/28/Full-time/,80% of graduates find their current work meaningful Source: Graduate Outcomes survey Data for students graduating 2022-23,97877c20-4907-4527-80b9-bf0a1837029d,1,0.367,HIERARCHICAL_DONOR_SELECTED
HQA-00126,manchester-uk-canary,056c787b-cb1e-526e-bb3d-9a731e339a19,The University of Manchester,Data Science,https://discoveruni.gov.uk/course-details/10007798/2571195/Full-time/,UK,bachelor,data science,employment_outcomes,H3,"{""audience"": null, ""metric"": ""occupation"", ""occupation"": ""Business and public service associate professionals"", ""percentage"": 5, ""period"": ""15 months after the course"", ""population"": ""students graduating 2022-23""}",programme,The University of Manchester,Computer Science,"{""audience"": null, ""metric"": ""occupation"", ""occupation"": ""Business and public service associate professionals"", ""percentage"": 5, ""period"": ""15 months after the course"", ""population"": ""students graduating 2022-23""}",programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007798/28/Full-time/,5% Business and public service associate professionals,97877c20-4907-4527-80b9-bf0a1837029d,1,0.367,HIERARCHICAL_DONOR_SELECTED
HQA-00271,scorecard-us-stage1-031,06cc4857-91a5-529b-9c56-bb6415e3e872,University of Illinois Chicago,University of Illinois Chicago Engineering,https://ed-public-download.scorecard.network/downloads/Most-Recent-Cohorts-Institution.zip?target=scorecard-us-stage1-031-b,US,bachelor,engineering,tuition,H2,USD 28448 / annual (international),institution,University of Illinois Chicago,,USD 28448 / annual (international),institution,college_scorecard_bulk,https://ed-public-download.scorecard.network/downloads/Most-Recent-Cohorts-Institution.zip,Annual tuition and fees for out-of-state students: 28448 [source column TUITIONFEE_OUT] (currency=USD; basis=annual; audience=international),c5f43040-3b24-4d76-97a5-f7ea3c68725e,1,0.3087,HIERARCHICAL_DONOR_SELECTED; institution-scoped finance context preserved (not programme tuition)
