field,total_targets,direct,H1,H2,H3,H4,final,programme_scope_final,institution_scope_final,review,abstain,missing,coverage_before_hierarchy_pct,coverage_after_hierarchy_pct,absolute_gain_pp,relative_gain_pct
programme_identity,418,167,0,0,12,0,179,179,0,0,239,0,39.95,42.82,2.87,7.19
credential,418,158,0,0,14,0,172,172,0,0,246,0,37.8,41.15,3.35,8.86
programme_status,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
academic_cycle,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
tuition,418,5,0,87,0,0,92,5,87,98,228,0,1.2,22.01,20.81,1740.0
additional_fees,418,0,0,16,0,0,16,0,16,0,402,0,0.0,3.83,3.83,100.0
duration,418,152,0,0,10,0,162,162,0,0,256,0,36.36,38.76,2.39,6.58
location,418,150,0,0,12,0,162,162,0,0,256,0,35.89,38.76,2.87,8.0
delivery_mode,418,161,0,0,11,0,172,172,0,0,246,0,38.52,41.15,2.63,6.83
programme_language,418,15,0,0,1,0,16,16,0,0,402,0,3.59,3.83,0.24,6.67
career_outcomes,418,4,0,0,13,0,17,17,0,23,378,0,0.96,4.07,3.11,325.0
employment_outcomes,418,7,0,0,8,0,15,15,0,22,381,0,1.67,3.59,1.91,114.29
intakes,418,7,0,0,0,0,7,7,0,0,411,0,1.67,1.67,0.0,0.0
final_deadline,418,6,0,0,0,0,6,6,0,0,412,0,1.44,1.44,0.0,0.0
rolling_admission,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
minimum_degree,418,1,0,0,0,0,1,1,0,3,414,0,0.24,0.24,0.0,0.0
subject_prerequisites,418,4,0,0,0,0,4,4,0,2,412,0,0.96,0.96,0.0,0.0
required_documents,418,3,0,0,1,0,4,4,0,0,414,0,0.72,0.96,0.24,33.33
standardized_tests,418,1,0,0,0,0,1,1,0,1,416,0,0.24,0.24,0.0,0.0
work_experience,418,2,0,0,0,0,2,2,0,0,416,0,0.48,0.48,0.0,0.0
ielts_overall,418,2,0,0,0,0,2,2,0,0,416,0,0.48,0.48,0.0,0.0
ielts_subscores,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
toefl,418,2,0,0,0,0,2,2,0,0,416,0,0.48,0.48,0.0,0.0
duolingo,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
application_fee,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
priority_deadline,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
international_deadline,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
funding_deadline,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
minimum_gpa,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
gpa_scale,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
recommendation_letters,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
sop_essay_requirements,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
portfolio,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
scholarships,418,2,0,0,0,0,2,2,0,2,414,0,0.48,0.48,0.0,0.0
funding,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
funding_amount,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
funding_eligibility,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
application_url,418,0,0,0,0,0,0,0,0,0,0,418,0.0,0.0,0.0,0.0
