field,hierarchy_level,rejection_gate,candidate_count,candidate_count_before,candidate_count_after,examples,rule_changed,reason
additional_fees,H2,DEGREE_MISMATCH,0,18,0,287d21b6-9988-5ab2-8760-73790ce41946 <- 5f9b14f4-c9c7-5e18-b562-b36971c6835a; 8defaece-6e69-511d-9051-21acb33beb9f <- 5f9b14f4-c9c7-5e18-b562-b36971c6835a; 08040d71-863c-55e5-bdae-b543a5522672 <- 7921220b-2ee4-51bf-8080-0d642c71012e,YES,Finance H2 institution context is now allowed only with institution scope preserved; audience/currency/basis gates remain active.
additional_fees,H4,PEER_ATTRIBUTES_UNVERIFIED,3744,3744,3744,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 5f9b14f4-c9c7-5e18-b562-b36971c6835a; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 7921220b-2ee4-51bf-8080-0d642c71012e; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- df4dc9d6-b14a-582c-81ac-cf2301db7a1a,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
additional_fees,UNKNOWN,DUPLICATE_POLICY_LINEAGE,2,0,2,660dfaa0-4e84-52bb-862b-5cbcafba06aa <- 3d9e210e-2456-50da-9ee6-91de814af644; 1fa25dc8-b853-590d-8481-27668ce3a81d <- 3d9e210e-2456-50da-9ee6-91de814af644,NO,No hierarchy rule change; candidate remains rejected under existing compatibility policy.
career_outcomes,H3,AUDIENCE_MISMATCH,23,23,23,133eac2d-937c-54fc-9f7f-1fcdb2937732 <- 50b01708-5ada-5b7c-bdd8-bf795ca982e7; 133eac2d-937c-54fc-9f7f-1fcdb2937732 <- ac38c5e5-26a3-5294-a801-a94de2905e68; 133eac2d-937c-54fc-9f7f-1fcdb2937732 <- e548e2fc-d2ad-5df3-b51d-d1f50da22a99,NO,No hierarchy rule change; candidate remains rejected under existing compatibility policy.
career_outcomes,H4,PEER_ATTRIBUTES_UNVERIFIED,43262,43262,43262,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 1a22cfd9-e4de-5326-a705-cca098a00ed1; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 1c4c2be1-2556-5600-9196-e6e1cd2370a1; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 444e1ace-19e0-5bf0-9df9-0e3fe094ad51,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
career_outcomes,UNKNOWN,DUPLICATE_POLICY_LINEAGE,27,27,27,00164ee0-24b0-5e69-8c8b-979d08113044 <- 1c4c2be1-2556-5600-9196-e6e1cd2370a1; 00164ee0-24b0-5e69-8c8b-979d08113044 <- 444e1ace-19e0-5bf0-9df9-0e3fe094ad51; 363052cb-99e3-5cb4-bfc4-512e4dc078a2 <- a4b5bd1b-2ab0-53fe-911d-a7b9c765c998,NO,No hierarchy rule change; candidate remains rejected under existing compatibility policy.
credential,H3,DEGREE_MISMATCH,2,2,2,9abbec1d-5f50-59ea-9532-f3ed9e3aff10 <- 38f56b4a-3beb-524b-95ee-01f42fb6f216; fcce1aa5-1813-5776-991e-107da1916798 <- 28d3bd13-7163-5fb7-8274-5f2ac287f5c6,NO,No hierarchy rule change; candidate remains rejected under existing compatibility policy.
credential,H4,PEER_ATTRIBUTES_UNVERIFIED,41064,41064,41064,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 0009aedc-28d1-504c-b837-e79cce72cd5a; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- bb7716d8-7e4e-50d6-b7c8-f8b336d0103d; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- d6d0ca1d-abc1-529e-9150-b402e894505d,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
delivery_mode,H3,DEGREE_MISMATCH,2,2,2,e1eee6f6-bda2-5cbb-9419-21c682bfc19b <- metadata-626e1529-04bc-5ccd-be3e-78268b0a4e35-delivery_mode; 2a72840d-c750-5afa-8adf-d8b51e4abe33 <- metadata-7c7925d8-0ea6-5d8d-8b1c-10af69f024bb-delivery_mode,NO,No hierarchy rule change; candidate remains rejected under existing compatibility policy.
delivery_mode,H4,PEER_ATTRIBUTES_UNVERIFIED,41364,41364,41364,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- metadata-f825d937-ce65-5abf-ba73-588cbbe7d1d4-delivery_mode; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- metadata-150cc360-0583-5ca4-b727-85c3655122d8-delivery_mode; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- metadata-1d747e1b-2087-5845-b0b1-9a73afb9fed1-delivery_mode,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
duration,H4,PEER_ATTRIBUTES_UNVERIFIED,40422,40422,40422,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- metadata-f825d937-ce65-5abf-ba73-588cbbe7d1d4-duration; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- metadata-150cc360-0583-5ca4-b727-85c3655122d8-duration; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- metadata-1d747e1b-2087-5845-b0b1-9a73afb9fed1-duration,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
employment_outcomes,H3,CAMPUS_MISMATCH,2,2,2,1157b236-a40b-5e2d-ad9a-197ad246a2e8 <- be2ed383-296e-58b7-b238-3368edd0e4c0; 7dca1beb-82e4-515a-a5f8-8dae2a29f84d <- ef056733-2156-5c47-890e-fefa192bc823,NO,No hierarchy rule change; candidate remains rejected under existing compatibility policy.
employment_outcomes,H4,PEER_ATTRIBUTES_UNVERIFIED,50757,50757,50757,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 60e3aa8b-9651-5ef1-a9f9-92a36818e9f6; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 7ed81365-e187-5d79-8059-443fcc4fa3d3; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- e499c2a6-ec01-596e-93dd-a26fc2a67725,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
employment_outcomes,UNKNOWN,DUPLICATE_POLICY_LINEAGE,48,48,48,00164ee0-24b0-5e69-8c8b-979d08113044 <- 7ed81365-e187-5d79-8059-443fcc4fa3d3; 00164ee0-24b0-5e69-8c8b-979d08113044 <- e499c2a6-ec01-596e-93dd-a26fc2a67725; 00164ee0-24b0-5e69-8c8b-979d08113044 <- 606c0b0a-c3d2-531d-bc22-7248b99998c1,NO,No hierarchy rule change; candidate remains rejected under existing compatibility policy.
