review_id,institution_name,programme_name,country,degree_level,field_name,extracted_value,value_scope,provider,source_url,evidence_text,system_status,system_confidence_or_reason,review_verdict,review_comment,reviewer,reviewed_at,critical_error
QA-0001,Aalto University,Computer Science MSc,Finland,Master,minimum_degree,University Bachelor's degree,programme,Studyinfo / Opintopolku,https://opintopolku.fi/konfo-backend/hakukohde/1.2.246.562.20.00000000000000091188,Required prior education (minimum degree requirement): University Bachelor's degree,ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0002,Aalto University,Computer Science MSc,Finland,Master,programme_focus,Aalto University's Master's Admission 2027,programme,Studyinfo / Opintopolku,https://opintopolku.fi/konfo-backend/hakukohde/1.2.246.562.20.00000000000000091188,Application route (rolling admission only when explicitly named): Aalto University's Master's Admission 2027 [source column hakuNimi.en],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0003,Aalto University,Computer Science MSc,Finland,Master,curriculum_overview,University Bachelor's degree,programme,Studyinfo / Opintopolku,https://opintopolku.fi/konfo-backend/hakukohde/1.2.246.562.20.00000000000000091188,Required prior education (minimum degree requirement): University Bachelor's degree [source column pohjakoulutusvaatimus.0.nimi.en],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.85,,,,,
QA-0004,Haaga-Helia University of Applied Sciences,Business Information Technology,Finland,Bachelor,required_documents,Required educational certificates,programme,Studyinfo / Opintopolku,https://opintopolku.fi/konfo-backend/hakukohde/1.2.246.562.20.00000000000000091904,Required application document name: Required educational certificates,ACCEPTED,accepted; exact external evidence; pipeline confidence=0.85,,,,,
QA-0005,University of Eastern Finland,Data Engineering,Finland,Bachelor,intakes,"application route: Joint Application to Higher Education, Spring 2026",programme,Studyinfo / Opintopolku,https://opintopolku.fi/konfo-backend/hakukohde/1.2.246.562.20.00000000000000076744,"Application route (rolling admission only when explicitly named): Joint Application to Higher Education, Spring 2026 [source column hakuNimi.en]",ACCEPTED,accepted; exact external evidence; pipeline confidence=0.85,,,,,
QA-0006,University of Eastern Finland,Data Engineering,Finland,Bachelor,standardized_tests,SAT scores listed as required application document; SAT-based admission available for refugees; requirement status: required; test: SAT,programme,Studyinfo / Opintopolku,https://opintopolku.fi/konfo-backend/valintaperuste/2fd031ad-fa64-43d4-9b5d-5eb033245b07,"If you are a refugee or your status is comparable to a refugee, and you thus cannot verify your eligibility to higher education with documentation, the university may allow you to take part in an SAT test-based admission for the bachelor’s and master's degree programme.",ACCEPTED,accepted; exact external evidence; pipeline confidence=0.80,,,,,
QA-0007,University of Eastern Finland,Data Engineering,Finland,Bachelor,ielts_overall,6,programme,Studyinfo / Opintopolku,https://opintopolku.fi/konfo-backend/valintaperuste/2fd031ad-fa64-43d4-9b5d-5eb033245b07,IELTS (academic)-test: minimum overall score of 6.0,ACCEPTED,accepted; exact external evidence; pipeline confidence=0.95,,,,,
QA-0008,University of Eastern Finland,Data Engineering,Finland,Bachelor,toefl,test: TOEFL iBT; minimum overall score: 78,programme,Studyinfo / Opintopolku,https://opintopolku.fi/konfo-backend/valintaperuste/2fd031ad-fa64-43d4-9b5d-5eb033245b07,TOEFL iBT test: minimum overall score of 78,ACCEPTED,accepted; exact external evidence; pipeline confidence=0.95,,,,,
QA-0009,University of Eastern Finland,Data Engineering,Finland,Bachelor,scholarships,funding type: unknown; eligibility: Applicants subject to tuition fees; details: Applicants subject to tuition fees can apply for tuition waivers and scholarships during the university application process by completing the relevant section on the application form.,programme,Studyinfo / Opintopolku,https://opintopolku.fi/konfo-backend/valintaperuste/2fd031ad-fa64-43d4-9b5d-5eb033245b07,Applicants subject to tuition fees can apply for tuition waivers and scholarships during the university application process by completing the relevant section on the application form.,ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0010,University of Eastern Finland,Data Engineering,Finland,Bachelor,curriculum_overview,Eligible applicants hold an upper secondary education degree certificate,programme,Studyinfo / Opintopolku,https://opintopolku.fi/konfo-backend/valintaperuste/2fd031ad-fa64-43d4-9b5d-5eb033245b07,Eligible applicants hold an upper secondary education degree certificate:,ACCEPTED,accepted; exact external evidence; pipeline confidence=0.60,,,,,
QA-0011,University of Eastern Finland,Information Technology,Finland,Bachelor,intakes,"application route: Joint Application to Higher Education, Spring 2026; academic cycle: 2026",programme,Studyinfo / Opintopolku,https://opintopolku.fi/konfo-backend/hakukohde/1.2.246.562.20.00000000000000076731,"Application route (rolling admission only when explicitly named): Joint Application to Higher Education, Spring 2026 [source column hakuNimi.en]",ACCEPTED,accepted; exact external evidence; pipeline confidence=0.85,,,,,
QA-0012,University of Eastern Finland,Information Technology,Finland,Bachelor,subject_prerequisites,"Finnish matriculation examination; International Baccalaureate degree (IB); European Baccalaureate degree (EB); Deutsches Internationales Abitur degree (DIA) or Reifeprüfung degree (RP) in Finland; A Finnish vocational upper secondary qualification, further vocational qualification, or specialist vocational qualification as set in the Vocational Education Act (531/2017); any other comparable upper secondary educational qualification that provides eligibility for university-level Bachelor’s studies in the country in question.; Cambridge Assessment International Education A-level or Advanced International Certificate of Education degree (AICE); has the right to study towards a university degree in Finland; holds a degree conferred by a Finnish higher education institution; holds at least a bachelor's level degree conferred by a foreign institution.",programme,Studyinfo / Opintopolku,https://opintopolku.fi/konfo-backend/valintaperuste/33012799-b01f-435e-8083-851d47fb4b6d,Eligible applicants hold an upper secondary education degree certificate:,REVIEW,review; exact external evidence; pipeline confidence=0.85; validation=VALUE_SUPPORT_UNRESOLVED,,,,,
QA-0013,University of Eastern Finland,Information Technology,Finland,Bachelor,required_documents,Certificates,programme,Studyinfo / Opintopolku,https://opintopolku.fi/konfo-backend/hakukohde/1.2.246.562.20.00000000000000076731,Required application document name: Certificates,ACCEPTED,accepted; exact external evidence; pipeline confidence=0.85,,,,,
QA-0014,University of Eastern Finland,Information Technology,Finland,Bachelor,standardized_tests,test: PTE (academic); minimum overall score: 54,programme,Studyinfo / Opintopolku,https://opintopolku.fi/konfo-backend/valintaperuste/33012799-b01f-435e-8083-851d47fb4b6d,PTE (academic)-test: minimum overall score of 54,ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0015,Campus de Lyon 3 à Bourg-en-Bresse,licence mention histoire,France,Bachelor,programme_identity,licence mention histoire,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Formation label: licence mention histoire,ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0016,Campus de Lyon 3 à Bourg-en-Bresse,licence mention histoire,France,Bachelor,credential,licence,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Qualification type: licence,ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
