programme_id,institution_id,institution_name,programme_name,country,degree_level,discipline,total_priority_fields,direct_field_count,hierarchical_added_field_count,effective_field_count,review_field_count,missing_field_count,completion_before_hierarchy_pct,completion_after_hierarchy_pct
00164ee0-24b0-5e69-8c8b-979d08113044,oxford-uk-canary,Oxford University,Mathematics and Computer Science,UK,bachelor,computer science,38,8,2,8,0,30,21.05,21.05
030cb98c-43d9-5905-bb2e-cbfd4a298e66,duo-nl-stage1-005,Rijksuniversiteit Groningen,Philosophy of a Specific Discipline,NL,bachelor,other,38,0,2,2,0,36,0.0,5.26
04bc0f72-add9-5031-9f73-893f3015f64e,onisep-fr-stage1-007,Institut universitaire de technologie de l'Aisne - Campus de Laon,BUT techniques de commercialisation parcours business développement et management de la relation client,FR,bachelor,other,38,6,0,6,0,32,15.79,15.79
0519d8a7-2197-557d-a0b0-44f3a4fbab06,duo-nl-stage1-009,Stiching Breda University of Applied Sciences,Logistics Engineering,NL,bachelor,engineering,38,0,2,2,0,36,0.0,5.26
056c787b-cb1e-526e-bb3d-9a731e339a19,manchester-uk-canary,The University of Manchester,Data Science,UK,bachelor,data science,38,15,11,15,0,23,39.47,39.47
064e4c8c-3273-5475-acc2-a785d2dc169d,discover-uk-stage1-005,Arts Educational Schools,Acting,UK,bachelor,other,38,7,3,10,0,28,18.42,26.32
067b77ac-c8fa-5719-9f3e-3cd6d2318b38,onisep-fr-stage1-017,Institut d'administration des entreprises - Campus Saint-Jean d'Angely,master mention management,FR,master,other,38,6,0,6,0,32,15.79,15.79
08ea5a7f-063b-5254-9e20-af26223b6208,onisep-fr-stage1-024,EURECOM,master mention réseaux et télécommunication,FR,master,other,38,6,5,11,0,27,15.79,28.95
0bb5ca11-6ce1-540d-9263-824cd8341723,duo-nl-stage1-015,"Stichting Codarts, Hogeschool voor de Kunsten",Circus Arts,NL,bachelor,other,38,0,2,2,0,36,0.0,5.26
0bdcd270-f39d-573a-9d65-19d757eefc98,onisep-fr-stage1-016,IUT d'Aix-Marseille - site de Gap,BUT gestion des entreprises et des administrations parcours gestion entrepreneuriat et management d'activités,FR,bachelor,business,38,6,0,6,0,32,15.79,15.79
0c35c3a5-02ff-5de8-820a-f2ee8108e32e,discover-uk-stage1-016,Boston College,Film & Television,UK,bachelor,other,38,10,3,13,0,25,26.32,34.21
0cebda89-86b8-5e41-88f9-480c86db3248,onisep-fr-stage1-023,École polytechnique universitaire de l'Université Côte d'Azur,diplôme d'ingénieur de l'École polytechnique universitaire de l'université Côte d'Azur spécialité robotique,FR,master,engineering,38,6,1,7,0,31,15.79,18.42
0f512584-17ba-595f-8723-74993b8cfbe0,duo-nl-stage1-012,Stichting ArtEZ,Fine Art and Design in Education,NL,bachelor,other,38,4,3,7,0,31,10.53,18.42
0f970faf-fdf2-58c6-814b-8cf1fb584379,onisep-fr-stage1-006,Institut universitaire de technologie de l'Aisne - Campus de Soissons,BUT génie électrique et informatique industrielle parcours automatisme et informatique industrielle,FR,bachelor,computer science,38,6,0,6,0,32,15.79,15.79
10ca8bac-cfc7-5cb3-87ae-5f1041983e86,ip-paris-fr-canary,Institut polytechnique de Paris,Master mention biologie-sante,FR,master,other,38,5,0,5,0,33,13.16,13.16
1157b236-a40b-5e2d-ad9a-197ad246a2e8,discover-uk-stage1-009,Barnsley College,Animal Management,UK,bachelor,business,38,7,4,11,0,27,18.42,28.95
11ff1bd2-c5f3-5999-b0c4-5f010956c67b,centrale-lyon-fr-canary,Ecole centrale de Lyon,Master mention informatique,FR,master,computer science,38,6,2,8,0,30,15.79,21.05
133eac2d-937c-54fc-9f7f-1fcdb2937732,discover-uk-stage1-002,Health Sciences University,Radiography (Radiotherapy and Oncology),UK,bachelor,other,38,11,2,13,0,25,28.95,34.21
1370d5b6-1a85-52bd-ab33-535fe62aeee9,discover-uk-stage1-001,Abingdon and Witney College,Business and Management Practice,UK,bachelor,business,38,10,6,11,0,27,26.32,28.95
1494bc65-9315-5198-a797-81202c1520c0,discover-uk-stage1-006,The Arts University Bournemouth,Acting for Screen,UK,bachelor,other,38,7,2,8,0,30,18.42,21.05
150cc360-0583-5ca4-b727-85c3655122d8,uco-nantes-fr-canary,Facultes libres de l'Ouest - UCO Nantes,Licence mention information-communication,FR,bachelor,computer science,38,7,0,7,0,31,18.42,18.42
16a79eae-ec22-54ba-8eac-c70cc0f84632,duo-nl-stage1-002,Maastricht University,"Master European Studies on Society, Science and Technology",NL,master,engineering,38,0,2,2,0,36,0.0,5.26
16aed716-240d-5ae8-854a-52d1ecc51b49,discover-uk-stage1-006,The Arts University Bournemouth,Acting,UK,bachelor,other,38,7,1,8,0,30,18.42,21.05
