field,total_targets,direct,H1,H2,H3,H4,final,programme_scope_final,institution_scope_final,review,abstain,missing,coverage_before_hierarchy_pct,coverage_after_hierarchy_pct,absolute_gain_pp,relative_gain_pct
programme_identity,230,218,0,0,12,0,230,228,0,0,0,0,77.83,100.0,22.17,28.49
credential,230,216,0,0,14,0,230,228,0,0,0,0,74.78,100.0,25.22,33.72
programme_status,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
academic_cycle,230,12,0,0,0,0,12,12,0,0,0,218,0.0,5.22,5.22,100.0
tuition,230,45,0,0,0,0,45,39,0,0,0,185,17.39,19.57,2.17,12.5
additional_fees,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
duration,230,153,0,0,10,0,163,161,0,0,0,67,70.43,70.87,0.43,0.62
location,230,160,0,0,6,0,166,151,0,0,0,64,70.43,72.17,1.74,2.47
delivery_mode,230,177,0,0,9,0,186,184,0,0,0,44,80.87,80.87,0.0,0.0
programme_language,230,34,0,1,1,0,36,32,1,0,0,194,13.04,15.65,2.61,20.0
career_outcomes,230,13,1,0,21,0,35,32,0,0,0,195,7.39,15.22,7.83,105.88
employment_outcomes,230,30,0,0,14,0,44,43,0,0,0,186,6.52,19.13,12.61,193.33
intakes,230,33,0,0,1,0,34,32,0,0,0,196,14.35,14.78,0.43,3.03
final_deadline,230,16,0,0,0,0,16,16,0,0,0,214,6.96,6.96,0.0,0.0
rolling_admission,230,2,0,0,0,0,2,2,0,0,0,228,0.87,0.87,0.0,0.0
minimum_degree,230,1,0,0,0,0,1,1,0,0,0,229,0.43,0.43,0.0,0.0
subject_prerequisites,230,17,0,0,1,0,18,16,0,0,0,212,6.96,7.83,0.87,12.5
required_documents,230,5,0,0,1,0,6,6,0,0,0,224,2.61,2.61,0.0,0.0
graduation_certificate,230,2,0,0,2,0,4,4,0,0,0,226,0.0,1.74,1.74,100.0
academic_transcript,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
standardized_tests,230,8,0,0,0,0,8,8,0,0,0,222,1.3,3.48,2.17,166.67
work_experience,230,25,0,0,0,0,25,25,0,0,0,205,10.87,10.87,0.0,0.0
ielts_overall,230,22,0,0,0,0,22,18,0,0,0,208,8.7,9.57,0.87,10.0
ielts_subscores,230,10,0,0,0,0,10,10,0,0,0,220,4.35,4.35,0.0,0.0
toefl,230,8,0,0,0,0,8,8,0,0,0,222,2.61,3.48,0.87,33.33
duolingo,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
application_fee,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
priority_deadline,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
international_deadline,230,2,0,0,0,0,2,2,0,0,0,228,0.0,0.87,0.87,100.0
funding_deadline,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
minimum_gpa,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
gpa_scale,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
recommendation_letters,230,12,0,0,0,0,12,12,0,0,0,218,5.22,5.22,0.0,0.0
sop_essay_requirements,230,4,0,0,0,0,4,4,0,0,0,226,1.74,1.74,0.0,0.0
portfolio,230,2,0,0,0,0,2,2,0,0,0,228,0.87,0.87,0.0,0.0
scholarships,230,28,0,0,2,0,30,24,0,0,0,200,10.43,13.04,2.61,25.0
funding,230,25,0,3,0,0,28,19,3,0,0,202,0.0,12.17,12.17,100.0
funding_amount,230,2,0,0,0,0,2,2,0,0,0,228,0.0,0.87,0.87,100.0
funding_eligibility,230,13,0,3,0,0,16,11,3,0,0,214,0.0,6.96,6.96,100.0
application_url,230,153,0,0,0,0,153,153,0,0,0,77,66.52,66.52,0.0,0.0
