field,total_targets,direct,H1,H2,H3,H4,final,programme_scope_final,institution_scope_final,review,abstain,missing,coverage_before_hierarchy_pct,coverage_after_hierarchy_pct,absolute_gain_pp,relative_gain_pct
programme_identity,230,167,0,0,12,0,179,179,0,0,51,0,72.61,77.83,5.22,7.19
credential,230,158,0,0,14,0,172,172,0,0,58,0,68.7,74.78,6.09,8.86
programme_status,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
academic_cycle,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
tuition,230,5,0,0,0,0,5,5,0,5,220,0,2.17,2.17,0.0,0.0
additional_fees,230,0,0,0,0,0,0,0,0,0,230,0,0.0,0.0,0.0,0.0
duration,230,152,0,0,10,0,162,162,0,0,68,0,66.09,70.43,4.35,6.58
location,230,150,0,0,12,0,162,162,0,0,68,0,65.22,70.43,5.22,8.0
delivery_mode,230,161,0,0,11,0,172,172,0,0,58,0,70.0,74.78,4.78,6.83
programme_language,230,15,0,0,1,0,16,16,0,0,214,0,6.52,6.96,0.43,6.67
career_outcomes,230,4,0,0,13,0,17,17,0,23,190,0,1.74,7.39,5.65,325.0
employment_outcomes,230,7,0,0,8,0,15,15,0,22,193,0,3.04,6.52,3.48,114.29
intakes,230,7,0,0,0,0,7,7,0,0,223,0,3.04,3.04,0.0,0.0
final_deadline,230,6,0,0,0,0,6,6,0,0,224,0,2.61,2.61,0.0,0.0
rolling_admission,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
minimum_degree,230,1,0,0,0,0,1,1,0,3,226,0,0.43,0.43,0.0,0.0
subject_prerequisites,230,4,0,0,0,0,4,4,0,2,224,0,1.74,1.74,0.0,0.0
required_documents,230,3,0,0,1,0,4,4,0,0,226,0,1.3,1.74,0.43,33.33
standardized_tests,230,1,0,0,0,0,1,1,0,1,228,0,0.43,0.43,0.0,0.0
work_experience,230,2,0,0,0,0,2,2,0,0,228,0,0.87,0.87,0.0,0.0
ielts_overall,230,2,0,0,0,0,2,2,0,0,228,0,0.87,0.87,0.0,0.0
ielts_subscores,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
toefl,230,2,0,0,0,0,2,2,0,0,228,0,0.87,0.87,0.0,0.0
duolingo,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
application_fee,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
priority_deadline,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
international_deadline,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
funding_deadline,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
minimum_gpa,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
gpa_scale,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
recommendation_letters,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
sop_essay_requirements,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
portfolio,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
scholarships,230,2,0,0,0,0,2,2,0,2,226,0,0.87,0.87,0.0,0.0
funding,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
funding_amount,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
funding_eligibility,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
application_url,230,0,0,0,0,0,0,0,0,0,0,230,0.0,0.0,0.0,0.0
