programme_id,institution_id,institution_name,programme_name,country,degree_level,discipline,total_priority_fields,direct_field_count,hierarchical_added_field_count,effective_field_count,review_field_count,missing_field_count,completion_before_hierarchy_pct,completion_after_hierarchy_pct
00164ee0-24b0-5e69-8c8b-979d08113044,oxford-uk-canary,Oxford University,Mathematics and Computer Science,UK,bachelor,computer science,38,5,2,7,0,31,13.16,18.42
03e1ce9d-1328-53dc-8a6c-949ea29d6d8a,purdue-us-canary,Purdue University-Main Campus,Purdue Engineering (alternate),US,master,computer science,38,0,0,0,1,37,0.0,0.0
04bc0f72-add9-5031-9f73-893f3015f64e,onisep-fr-stage1-007,Institut universitaire de technologie de l'Aisne - Campus de Laon,BUT techniques de commercialisation parcours business développement et management de la relation client,FR,bachelor,other,38,5,0,5,0,33,13.16,13.16
056c787b-cb1e-526e-bb3d-9a731e339a19,manchester-uk-canary,The University of Manchester,Data Science,UK,bachelor,data science,38,0,7,7,0,31,0.0,18.42
0613d5f6-f559-57f1-8bf1-155631525f66,scorecard-us-stage1-063,Western Governors University,Western Governors University Engineering,US,bachelor,engineering,38,0,0,0,1,37,0.0,0.0
064e4c8c-3273-5475-acc2-a785d2dc169d,discover-uk-stage1-005,Arts Educational Schools,Acting,UK,bachelor,other,38,5,0,5,2,31,13.16,13.16
067b77ac-c8fa-5719-9f3e-3cd6d2318b38,onisep-fr-stage1-017,Institut d'administration des entreprises - Campus Saint-Jean d'Angely,master mention management,FR,master,other,38,5,0,5,0,33,13.16,13.16
06cc4857-91a5-529b-9c56-bb6415e3e872,scorecard-us-stage1-031,University of Illinois Chicago,University of Illinois Chicago Engineering,US,bachelor,engineering,38,0,1,1,0,37,0.0,2.63
06e6e1c7-516e-521c-910b-5d397d4ec5a5,harvard-us-canary,Harvard University,Harvard Computer Science (alternate),US,bachelor,engineering,38,0,1,1,0,37,0.0,2.63
07ba2a88-3f5d-5be8-b27e-b38ad693eb6c,scorecard-us-stage1-046,North Dakota State University-Main Campus,North Dakota State University-Main Campus Engineering,US,bachelor,engineering,38,0,1,1,0,37,0.0,2.63
07fb5ba7-f05e-5539-959d-cbb8fa5351d9,scorecard-us-stage1-020,University of Central Florida,University of Central Florida Engineering,US,bachelor,engineering,38,0,1,1,0,37,0.0,2.63
08040d71-863c-55e5-bdae-b543a5522672,epfl-ch-canary,EPFL,EPFL Data Science,CH,master,data science,38,0,2,2,0,36,0.0,5.26
087183cd-88d8-5380-828f-5f1c589845bd,scorecard-us-stage1-047,University of Nebraska-Lincoln,University of Nebraska-Lincoln Engineering,US,bachelor,engineering,38,0,1,1,0,37,0.0,2.63
08aba9dd-3480-5da1-b239-c8d1ed45be1e,scorecard-us-stage1-039,University of Maine,University of Maine Computer Science,US,master,computer science,38,0,0,0,1,37,0.0,0.0
08ea5a7f-063b-5254-9e20-af26223b6208,onisep-fr-stage1-024,EURECOM,master mention réseaux et télécommunication,FR,master,other,38,5,0,5,1,32,13.16,13.16
0a00bdf6-1011-58de-89c6-e54818314b14,scorecard-us-stage1-068,University of Wisconsin-Madison,University of Wisconsin-Madison Computer Science,US,master,computer science,38,0,0,0,1,37,0.0,0.0
0bdcd270-f39d-573a-9d65-19d757eefc98,onisep-fr-stage1-016,IUT d'Aix-Marseille - site de Gap,BUT gestion des entreprises et des administrations parcours gestion entrepreneuriat et management d'activités,FR,bachelor,business,38,5,0,5,0,33,13.16,13.16
0c12a787-026c-5ee1-a00a-ddd576e1b4d6,scorecard-us-stage1-034,University of Kansas,University of Kansas Computer Science,US,master,computer science,38,0,0,0,1,37,0.0,0.0
0c34bf89-8318-52c9-8db3-bb384b92556d,scorecard-us-stage1-018,Wilmington University,Wilmington University Engineering,US,bachelor,engineering,38,0,0,0,1,37,0.0,0.0
0c35c3a5-02ff-5de8-820a-f2ee8108e32e,discover-uk-stage1-016,Boston College,Film & Television,UK,bachelor,other,38,6,0,6,1,31,15.79,15.79
0ccfc7ae-2f5b-5a2b-8355-86759d5758e6,usi-ch-stage1,Università della Svizzera Italiana,Università della Svizzera Italiana Engineering,CH,bachelor,engineering,38,0,0,0,0,38,0.0,0.0
0cdad72c-c49b-5049-b35d-3c61c4972feb,scorecard-us-stage1-061,The University of Tennessee-Knoxville,The University of Tennessee-Knoxville Engineering,US,bachelor,engineering,38,0,1,1,0,37,0.0,2.63
0cebda89-86b8-5e41-88f9-480c86db3248,onisep-fr-stage1-023,École polytechnique universitaire de l'Université Côte d'Azur,diplôme d'ingénieur de l'École polytechnique universitaire de l'université Côte d'Azur spécialité robotique,FR,master,engineering,38,6,0,6,0,32,15.79,15.79
0d8144a4-e388-5bbf-9d3c-e725193b73e5,stanford-us-canary,Stanford University,Stanford Computer Science,US,master,computer science,38,0,0,0,1,37,0.0,0.0
0e85fd08-af75-5dc1-b15a-736ca7da58d9,cmu-us-canary,Carnegie Mellon University,Carnegie Mellon Machine Learning,US,master,computer science,38,0,0,0,1,37,0.0,0.0
0f970faf-fdf2-58c6-814b-8cf1fb584379,onisep-fr-stage1-006,Institut universitaire de technologie de l'Aisne - Campus de Soissons,BUT génie électrique et informatique industrielle parcours automatisme et informatique industrielle,FR,bachelor,computer science,38,5,0,5,0,33,13.16,13.16
10ca8bac-cfc7-5cb3-87ae-5f1041983e86,ip-paris-fr-canary,Institut polytechnique de Paris,Master mention biologie-sante,FR,master,other,38,5,0,5,0,33,13.16,13.16
11502bf2-9e85-525d-a0fc-a070676ec307,purdue-us-canary,Purdue University-Main Campus,Purdue Engineering,US,bachelor,engineering,38,0,0,0,1,37,0.0,0.0
1157b236-a40b-5e2d-ad9a-197ad246a2e8,discover-uk-stage1-009,Barnsley College,Animal Management,UK,bachelor,business,38,5,0,5,0,33,13.16,13.16
11ff1bd2-c5f3-5999-b0c4-5f010956c67b,centrale-lyon-fr-canary,Ecole centrale de Lyon,Master mention informatique,FR,master,computer science,38,5,0,5,1,32,13.16,13.16
124b34ed-5c2f-570e-907a-54166ac6a719,duo-nl-stage1-005,Rijksuniversiteit Groningen,Datastore Search,NL,,,38,0,0,0,0,38,0.0,0.0
12ea43db-9407-5372-89e5-7ed951f3cdc0,mit-us-canary,Massachusetts Institute of Technology,MIT Computer Science,US,master,computer science,38,0,0,0,1,37,0.0,0.0
133eac2d-937c-54fc-9f7f-1fcdb2937732,discover-uk-stage1-002,Health Sciences University,Radiography (Radiotherapy and Oncology),UK,bachelor,other,38,5,0,5,2,31,13.16,13.16
1370d5b6-1a85-52bd-ab33-535fe62aeee9,discover-uk-stage1-001,Abingdon and Witney College,Business and Management Practice,UK,bachelor,business,38,0,5,5,0,33,0.0,13.16
1410ec34-04c6-5f8a-beed-ccfbb85426c8,scorecard-us-stage1-028,University of Iowa,University of Iowa Computer Science,US,master,computer science,38,0,0,0,1,37,0.0,0.0
14383d20-993f-56cf-9d7c-498dd35d24d2,duo-nl-stage1-003,Open Universiteit Nederland,Datastore Search,NL,,,38,0,0,0,0,38,0.0,0.0
1494bc65-9315-5198-a797-81202c1520c0,discover-uk-stage1-006,The Arts University Bournemouth,Acting for Screen,UK,bachelor,other,38,5,1,6,1,31,13.16,15.79
150cc360-0583-5ca4-b727-85c3655122d8,uco-nantes-fr-canary,Facultes libres de l'Ouest - UCO Nantes,Licence mention information-communication,FR,bachelor,computer science,38,5,0,5,0,33,13.16,13.16
16a8b0b1-43fd-5369-b84f-539dfb09860e,scorecard-us-stage1-029,Boise State University,Boise State University Engineering,US,bachelor,engineering,38,0,0,0,1,37,0.0,0.0
16aed716-240d-5ae8-854a-52d1ecc51b49,discover-uk-stage1-006,The Arts University Bournemouth,Acting,UK,bachelor,other,38,6,0,6,1,31,15.79,15.79
18c243d0-1f3b-5a4f-b21c-56deb5630713,duo-nl-stage1-002,Maastricht University,Datastore Search,NL,,,38,0,0,0,0,38,0.0,0.0
19238524-9803-53d5-ba61-dcbe17c6c55a,centrale-lyon-fr-canary,Ecole centrale de Lyon,Master mention chimie et sciences des materiaux,FR,master,other,38,5,0,5,2,31,13.16,13.16
19e02a28-bc70-55c1-9b7d-cac9d5fb648e,onisep-fr-stage1-022,"Campus Carlone Lettres, Arts et Sciences humaines","licence mention langues, littératures et civilisations étrangères et régionales",FR,bachelor,other,38,5,0,5,0,33,13.16,13.16
1a644f53-d166-5c3c-9bef-815ccc8410ad,duo-nl-stage1-020,Stichting Hanzehogeschool Groningen,Datastore Search,NL,,,38,0,0,0,0,38,0.0,0.0
1bae0c84-4db6-52a9-b7ec-6d25cb566e33,princeton-us-canary,Princeton University,Princeton Engineering,US,master,engineering,38,0,1,1,0,37,0.0,2.63
1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab,cornell-us-canary,Cornell University,Cornell Information Science,US,master,data science,38,0,0,0,1,37,0.0,0.0
1cff6d4c-d70c-5246-9300-34f8f80bb2e3,scorecard-us-stage1-062,Texas A & M University-College Station,Texas A & M University-College Station Engineering,US,bachelor,engineering,38,0,1,1,0,37,0.0,2.63
