institution_name,programme_name,country,degree_level,discipline,institution_id,programme_id,programme_identity,credential,duration,location,delivery_mode,programme_language,programme_status,academic_cycle,tuition,tuition_scope,additional_fees,additional_fees_scope,mandatory_fees,application_fee,scholarship,scholarship_amount,funding,funding_amount,funding_eligibility,funding_deadline,ielts_overall,ielts_subscores,toefl,duolingo,standardized_test_requirements,intakes,final_deadline,priority_deadline,international_deadline,rolling_admission,application_url,minimum_degree,minimum_gpa,gpa_scale,subject_prerequisites,required_documents,recommendation_letters,sop_or_essay,portfolio,work_experience,career_outcomes,employment_outcomes,direct_field_count,hierarchical_added_field_count,effective_field_count,missing_field_count,effective_completion_pct,final_source_count,hierarchical_field_count
EPFL,EPFL Data Science,CH,master,data science,epfl-ch-canary,08040d71-863c-55e5-bdae-b543a5522672,,,,,,,,,CHF 2190 / per semester (international),institution,CHF 25 / per semester,institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,36,5.26,1,2
EPFL,EPFL Engineering,CH,bachelor,engineering,epfl-ch-canary,31142093-9075-5d8c-8037-92ac8cae54dd,,,,,,,,,CHF 2190 / per semester (international),institution,CHF 25 / per semester,institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,36,5.26,1,2
ETH Zurich,ETH Zurich Data Science,CH,master,data science,eth-zurich-ch-canary,287d21b6-9988-5ab2-8760-73790ce41946,,,,,,,,,CHF 2190 / per semester (international),institution,CHF 74 / per semester,institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,36,5.26,1,2
ETH Zurich,ETH Zurich Engineering,CH,bachelor,engineering,eth-zurich-ch-canary,8defaece-6e69-511d-9051-21acb33beb9f,,,,,,,,,CHF 2190 / per semester (international),institution,CHF 74 / per semester,institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,36,5.26,1,2
University of Basel,University of Basel Data Science,CH,master,data science,basel-ch-canary,660dfaa0-4e84-52bb-862b-5cbcafba06aa,,,,,,,,,CHF 850 / per semester (international),institution,CHF 100 / per semester,institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,36,5.26,1,2
University of Basel,University of Basel Engineering,CH,bachelor,engineering,basel-ch-canary,1fa25dc8-b853-590d-8481-27668ce3a81d,,,,,,,,,CHF 850 / per semester (international),institution,CHF 100 / per semester,institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,36,5.26,1,2
University of Bern,University of Bern Data Science,CH,master,data science,bern-ch-canary,645ccb28-be3a-5b92-9bc4-1c596e39d8fc,,,,,,,,,CHF 850 / per semester (international),institution,CHF 2550 / per semester,institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,36,5.26,1,2
University of Bern,University of Bern Engineering,CH,bachelor,engineering,bern-ch-canary,2b6b45e5-a934-5676-ab10-f02491fef076,,,,,,,,,CHF 850 / per semester (international),institution,CHF 2550 / per semester,institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,36,5.26,1,2
University of Fribourg,University of Fribourg Data Science,CH,master,data science,fribourg-ch-stage1,7b9ef9c6-d147-5ec7-8195-6bd252202c20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
University of Fribourg,University of Fribourg Engineering,CH,bachelor,engineering,fribourg-ch-stage1,7dda8cbf-bfcf-52c5-afa7-c02beb748294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
