programme_id,institution_id,programme_name,field_name,final_value,resolution_status,resolution_level,field_scope,donor_entity_ids,donor_entities,donor_scope,provider,source_url,raw_document_ids,compatibility,cycle_compatibility,applicability_compatibility,uncertainty,uncertainty_category,support_count,donor_assertion_ids,reason
00164ee0-24b0-5e69-8c8b-979d08113044,oxford-uk-canary,Mathematics and Computer Science,programme_identity,Mathematics and Computer Science (3 or 4 years),DIRECT_ACCEPTED,H0,programme,00164ee0-24b0-5e69-8c8b-979d08113044,target programme,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,398c8e02-6cc2-46be-bf79-61959429ec7f,exact target programme assertion,MATCH,EXPLICIT,0,DIRECT,1,194b4d83-c421-5d44-9b20-bb7c22033354,DIRECT_TARGET_AVAILABLE
00164ee0-24b0-5e69-8c8b-979d08113044,oxford-uk-canary,Mathematics and Computer Science,credential,MMathCompSci (Hons),DIRECT_ACCEPTED,H0,programme,00164ee0-24b0-5e69-8c8b-979d08113044,target programme,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,398c8e02-6cc2-46be-bf79-61959429ec7f,exact target programme assertion,MATCH,EXPLICIT,0,DIRECT,1,910f595c-0d4b-5b17-93f9-c68e99cb94dd,DIRECT_TARGET_AVAILABLE
00164ee0-24b0-5e69-8c8b-979d08113044,oxford-uk-canary,Mathematics and Computer Science,programme_status,,MISSING,,programme,,,programme,,,,NO_COMPATIBLE_DONOR,,,,,,,NO_COMPATIBLE_DONOR
00164ee0-24b0-5e69-8c8b-979d08113044,oxford-uk-canary,Mathematics and Computer Science,academic_cycle,,MISSING,,programme,,,programme,,,,NO_COMPATIBLE_DONOR,,,,,,,NO_COMPATIBLE_DONOR
00164ee0-24b0-5e69-8c8b-979d08113044,oxford-uk-canary,Mathematics and Computer Science,tuition,,ABSTAINED,,programme,,,programme,,,,NO_COMPATIBLE_DONOR,,,,,,,NO_COMPATIBLE_DONOR
00164ee0-24b0-5e69-8c8b-979d08113044,oxford-uk-canary,Mathematics and Computer Science,additional_fees,,ABSTAINED,,programme,,,programme,,,,NO_COMPATIBLE_DONOR,,,,,,,NO_COMPATIBLE_DONOR
00164ee0-24b0-5e69-8c8b-979d08113044,oxford-uk-canary,Mathematics and Computer Science,duration,4 year course,DIRECT_ACCEPTED,H0,programme,00164ee0-24b0-5e69-8c8b-979d08113044,target programme,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,398c8e02-6cc2-46be-bf79-61959429ec7f,exact target programme assertion,MATCH,EXPLICIT,0,DIRECT,1,metadata-00164ee0-24b0-5e69-8c8b-979d08113044-duration,DIRECT_TARGET_AVAILABLE
00164ee0-24b0-5e69-8c8b-979d08113044,oxford-uk-canary,Mathematics and Computer Science,location,Oxford,DIRECT_ACCEPTED,H0,programme,00164ee0-24b0-5e69-8c8b-979d08113044,target programme,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,398c8e02-6cc2-46be-bf79-61959429ec7f,exact target programme assertion,MATCH,EXPLICIT,0,DIRECT,1,metadata-00164ee0-24b0-5e69-8c8b-979d08113044-location,DIRECT_TARGET_AVAILABLE
00164ee0-24b0-5e69-8c8b-979d08113044,oxford-uk-canary,Mathematics and Computer Science,delivery_mode,Full time,DIRECT_ACCEPTED,H0,programme,00164ee0-24b0-5e69-8c8b-979d08113044,target programme,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007774/GG14/Full-time/,398c8e02-6cc2-46be-bf79-61959429ec7f,exact target programme assertion,MATCH,EXPLICIT,0,DIRECT,1,metadata-00164ee0-24b0-5e69-8c8b-979d08113044-delivery_mode,DIRECT_TARGET_AVAILABLE
00164ee0-24b0-5e69-8c8b-979d08113044,oxford-uk-canary,Mathematics and Computer Science,programme_language,,ABSTAINED,,programme,,,programme,,,,NO_COMPATIBLE_DONOR,,,,,,,NO_COMPATIBLE_DONOR
