institution_name,programme_name,country,degree_level,discipline,institution_id,programme_id,programme_identity,credential,duration,location,delivery_mode,programme_language,programme_status,academic_cycle,tuition,tuition_scope,additional_fees,additional_fees_scope,mandatory_fees,application_fee,scholarship,scholarship_amount,funding,funding_amount,funding_eligibility,funding_deadline,ielts_overall,ielts_subscores,toefl,duolingo,standardized_test_requirements,intakes,final_deadline,priority_deadline,international_deadline,rolling_admission,application_url,minimum_degree,minimum_gpa,gpa_scale,subject_prerequisites,required_documents,recommendation_letters,sop_or_essay,portfolio,work_experience,career_outcomes,employment_outcomes,direct_field_count,hierarchical_added_field_count,effective_field_count,missing_field_count,effective_completion_pct,final_source_count,hierarchical_field_count
Aalto University,Computer Science MSc,FI,master,computer science,aalto-fi-canary,c695f7f2-0ce1-5caa-9600-cf5fc759a332,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-01-05,,,,,University Bachelor's degree,,,,,,,,,,,2,0,2,36,5.26,2,0
Aalto University,"Data Science, Bachelor/MSc",FI,bachelor,computer science,aalto-fi-canary,81f197ab-e6ea-5bdf-b4c2-eb79ba966142,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-22,,,,,,,,,,,,,,,,1,0,1,37,2.63,1,0
Abingdon and Witney College,Business and Management Practice,UK,bachelor,business,discover-uk-stage1-001,87ff2832-35fa-524a-9ae3-c8b7aeabad3b,FdA Business and Management Practice,FdA,2 year course,Abingdon and Witney College,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Abingdon and Witney College,Business and Management Practice,UK,bachelor,business,discover-uk-stage1-001,1370d5b6-1a85-52bd-ab33-535fe62aeee9,FdA Business and Management Practice,FdA,2 year course,Abingdon and Witney College,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,33,13.16,1,5
All Nations Christian College,Biblical and Intercultural Studies,UK,bachelor,other,discover-uk-stage1-003,60e2e546-beec-559f-8803-ff7d234c1959,Biblical and Intercultural Studies,DipHE,2 year course,All Nations Christian College,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
All Nations Christian College,Biblical and Intercultural Studies,UK,bachelor,other,discover-uk-stage1-003,d16a8da1-2e7e-5f82-ad51-2ad5d35a46b2,Biblical and Intercultural Studies,DipHE,2 year course,All Nations Christian College,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,33,13.16,1,5
Anglia Ruskin University,Fine Art,UK,bachelor,other,discover-uk-stage1-004,9436b038-a11f-554e-bf0b-894432db7716,BA (Hons) Fine Art,BA (Hons),3 year course,ARU Cambridge Campus,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""audience"": null, ""description"": ""go on to work and/or study 15 months after the course"", ""outcome_type"": ""employment_rate"", ""percentage"": 85, ""population"": ""Creative arts and design graduates at Anglia Ruskin University""}",6,0,6,31,15.79,1,0
Anglia Ruskin University,Law,UK,bachelor,other,discover-uk-stage1-004,8eb42e1e-62a2-5044-987d-01719cd7d204,LLB (Hons) Law,LLB (Hons),3 year course,ARU Cambridge Campus,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,31,13.16,2,1
Arts Educational Schools,Acting,UK,bachelor,other,discover-uk-stage1-005,064e4c8c-3273-5475-acc2-a785d2dc169d,BA (Hons) Acting,BA (Hons),3 year course,ArtsEd,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,31,13.16,1,0
Arts Educational Schools,Musical Theatre,UK,bachelor,other,discover-uk-stage1-005,f274a2a7-1552-584b-979f-0a0a65b34fc1,BA (Hons) Musical Theatre,BA (Hons),3 year course,ArtsEd,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""audience"": null, ""metric"": ""occupation types 15 months after the course"", ""reason"": ""course size is too small"", ""status"": ""no_data_available""}",5,1,6,31,15.79,2,1
Askham Bryan College,Equine Science and Management,UK,bachelor,business,discover-uk-stage1-007,7415a39b-2f5f-5571-bfc7-43976f8d48d7,FdSc Equine Science and Management,FdSc,2 year course,York,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""audience"": null, ""outcome_type"": ""employment_or_study_rate"", ""percentage"": 80, ""period"": ""15 months after the course"", ""population"": ""Agriculture, food and related studies graduates at Askham Bryan College""}",6,0,6,31,15.79,1,0
Askham Bryan College,Equine Science and Management (including Foundation year),UK,bachelor,business,discover-uk-stage1-007,465d4536-96e4-5b55-8c3e-80a1e8013b76,Equine Science and Management (including Foundation year),FdSc,3 year course,York,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""audience"": null, ""outcome_type"": ""employment_rate"", ""percentage"": 80, ""period"": ""15 months after the course"", ""population"": ""Agriculture, food and related studies graduates at Askham Bryan College""}",6,0,6,31,15.79,1,0
BLACKPOOL AND THE FYLDE COLLEGE,Engineering (Automotive Engineering),UK,bachelor,engineering,discover-uk-stage1-015,2a4fb7c5-f257-555a-84c5-2a23d72e611b,Engineering (Automotive Engineering),BEng (Hons),3 year course,Bispham Campus,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,31,13.16,1,0
BLACKPOOL AND THE FYLDE COLLEGE,Engineering (Robotics and Automation Engineering),UK,bachelor,engineering,discover-uk-stage1-015,339349f1-ea76-5178-8eb9-8401fbcf9143,Engineering (Robotics and Automation Engineering),BEng (Hons),3 year course,Bispham Campus,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,31,13.16,1,0
Barking and Dagenham College,Computing For England (General) (Barking and Dagenham),UK,bachelor,computer science,discover-uk-stage1-008,95d3bbf1-7e5d-5412-96b3-c6022bd8b35a,Computing For England (General) (Barking and Dagenham),HND,2 year course,Barking and Dagenham College,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,33,13.16,2,1
Barking and Dagenham College,Computing for England (Cyber Security) (Barking and Dagenham),UK,bachelor,computer science,discover-uk-stage1-008,63412a30-b38b-5b03-b7ff-4ddfa92300cf,Computing for England (Cyber Security) (Barking and Dagenham),HND,2 year course,Barking and Dagenham College,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Barnsley College,Animal Management,UK,bachelor,business,discover-uk-stage1-009,1157b236-a40b-5e2d-ad9a-197ad246a2e8,Animal Management,FdSc,2 year course,Wigfield Farm,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Barnsley College,Early Years Leadership,UK,bachelor,other,discover-uk-stage1-009,fcce1aa5-1813-5776-991e-107da1916798,Early Years Leadership,,2 year course,Barnsley College,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""audience"": null, ""outcome_type"": ""employment_or_study_rate"", ""percentage"": 75, ""period"": ""15 months after the course"", ""population"": ""Health and social care graduates at Barnsley College""}",5,0,5,32,13.16,1,0
Bath Spa University,Acting,UK,bachelor,other,discover-uk-stage1-010,e67cc4ee-c764-5b6c-b1fb-565dd2ffea47,BA (Hons) Acting,BA (Hons),3 year course,Newton Park Campus,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""audience"": null, ""metric"": ""go on to work and/or study"", ""percentage"": 90, ""population"": ""BA (Hons) Acting graduates at Bath Spa University"", ""timeframe"": ""15 months after the course""}",6,0,6,31,15.79,1,0
Bath Spa University,Acting with Foundation Year at Boomsatsuma,UK,bachelor,other,discover-uk-stage1-010,7dca1beb-82e4-515a-a5f8-8dae2a29f84d,BA (Hons) Acting with Foundation Year at Boomsatsuma,BA (Hons),4 year course,Boomsatsuma,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Bishop Auckland College,Art and Design,UK,bachelor,other,discover-uk-stage1-012,d0fa5375-aec0-55a2-ad4b-23ae41795088,HND Art and Design,HND,2 year course,Bishop Auckland College Main Campus,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Bishop Auckland College,Photography,UK,bachelor,other,discover-uk-stage1-012,d649d1a4-f5d6-55c4-bac1-8db8a9953756,HND Photography,HND,2 year course,Bishop Auckland College Main Campus,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,33,13.16,2,1
Bishop Burton College,Animal Behaviour & Wildlife Conservation,UK,bachelor,other,discover-uk-stage1-013,68e2924c-c07f-5ac2-8ea9-6bb6e0d21351,BSc (Hons) Animal Behaviour & Wildlife Conservation,BSc (Hons),3 year course,Bishop Burton,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP 19000,,5,1,6,31,15.79,2,1
Bishop Burton College,Applied Animal Behaviour and Training,UK,bachelor,other,discover-uk-stage1-013,f93efbac-69e9-53de-a54d-c1768805685c,BSc (Hons) Applied Animal Behaviour and Training,BSc (Hons),3 year course,Bishop Burton,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,31,13.16,1,0
Blackburn College,Accounting and Finance,UK,bachelor,other,discover-uk-stage1-014,e01daefe-355a-5f31-a3db-f63d8275d471,Accounting and Finance,FdSc,2 year course,Main Campus,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""description"": ""75% of UK-resident Management studies graduates from Blackburn College are based in England"", ""graduating_cohort"": ""2015-17"", ""outcome_type"": ""graduate_location"", ""source"": ""Longitudinal Education Outcomes (LEO) dataset"", ""subject_area"": ""Management studies""}",,5,1,6,32,15.79,2,1
