institution_name,original_programme_name,institution_id,programme_id,country,provider,classification,verified_programme_name,provider_native_programme_id,reason,binding_evidence,action
Massachusetts Institute of Technology,MIT Computer Science,mit-us-canary,12ea43db-9407-5372-89e5-7ed951f3cdc0,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Massachusetts Institute of Technology,MIT Computer Science (alternate),mit-us-canary,6b4906ec-f0e6-57cc-bc33-5e7be40eedb1,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Cornell University,Cornell Information Science,cornell-us-canary,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Cornell University,Cornell Information Science (alternate),cornell-us-canary,c6b706a2-ff0b-5ffa-a2b8-061e255e9608,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Harvard University,Harvard Computer Science,harvard-us-canary,a3c3b0a9-ef44-5d5c-bff6-0a8632ee6c84,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Harvard University,Harvard Computer Science (alternate),harvard-us-canary,06e6e1c7-516e-521c-910b-5d397d4ec5a5,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Stanford University,Stanford Computer Science,stanford-us-canary,0d8144a4-e388-5bbf-9d3c-e725193b73e5,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Stanford University,Stanford Computer Science (alternate),stanford-us-canary,a99fe8b8-2153-590f-875c-d3d09599f1cf,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
University of California-Berkeley,Berkeley Data Science,berkeley-us-canary,8fc5b1d1-3c23-5e14-8344-445a4c90a416,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
University of California-Berkeley,Berkeley Data Science (alternate),berkeley-us-canary,9a33e6c7-17d6-516b-ac4d-8f9a78b01269,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Princeton University,Princeton Engineering,princeton-us-canary,1bae0c84-4db6-52a9-b7ec-6d25cb566e33,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Princeton University,Princeton Engineering (alternate),princeton-us-canary,a05e67d9-34a7-586b-ae01-ee8974775c9f,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
