institution_name,programme_name,country,degree_level,discipline,institution_id,programme_id,programme_identity,credential,duration,location,delivery_mode,programme_language,programme_status,academic_cycle,tuition,tuition_scope,additional_fees,additional_fees_scope,mandatory_fees,application_fee,scholarship,scholarship_amount,funding,funding_amount,funding_eligibility,funding_deadline,ielts_overall,ielts_subscores,toefl,duolingo,standardized_test_requirements,intakes,final_deadline,priority_deadline,international_deadline,rolling_admission,application_url,minimum_degree,minimum_gpa,gpa_scale,subject_prerequisites,required_documents,recommendation_letters,sop_or_essay,portfolio,work_experience,career_outcomes,employment_outcomes,direct_field_count,hierarchical_added_field_count,effective_field_count,missing_field_count,effective_completion_pct,final_source_count,hierarchical_field_count,ultra_filled_field_count,ultra_missing_field_count,ultra_completion_pct
Aalto University,Computer Science MSc,FI,master,computer science,aalto-fi-canary,c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,MSc,2 ans,Biot,"temps plein, cours en présentiel",NLD,Active,2026,EUR 8500 / year,programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""academic_cycle"":null,""amount"":null,""automatic_consideration"":null,""award_name"":null,""currency"":null,""details"":""gratuit en apprentissage"",""eligibility"":null,""funding_type"":""financial_aid_policy"",""repayable"":null,""separate_application_required"":null}",Varies,Funding options may be available,Varies,"Eligibility varies by citizenship, merit, and financial need",See funding provider deadlines,5,6.0 each,80,120,"{""requirement_status"": ""required"", ""test"": ""SAT""}","{""start_date"": ""2027-08-01""}",2027-01-05,2025-12-01,2026-01-15,True,https://opintopolku.fi/hakemus/hakukohde/1.2.246.562.20.00000000000000091188?lang=en,University Bachelor's degree,3.0,4.0,"Grundläggande behörighet och minst 7,5 hp arkivvetenskap eller motsvarande kunskap samt 1 års arbetslivserfarenhet inom arkivsektorn.",Required educational certificates,2 recommendation letters,Statement of purpose or motivation letter,Portfolio requirement depends on the programme,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}",Career opportunities related to computer science,Career opportunities related to computer science,4,0,6,32,15.79,2,0,40,0,100.00
Aalto University,"Data Science, Bachelor/MSc",FI,bachelor,computer science,aalto-fi-canary,81f197ab-e6ea-5bdf-b4c2-eb79ba966142,"Data Science, Bachelor/MSc",Bachelor,3 ans,Vichy,Full time,English,Active,2026,EUR 12000 / annual (international),programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""academic_cycle"": null, ""amount"": null, ""audience"": null, ""automatic_consideration"": null, ""award_name"": null, ""currency"": null, ""details"": ""Applicants subject to tuition fees can apply for tuition waivers and scholarships during the university application process by completing the relevant section on the application form."", ""eligibility"": ""Applicants subject to tuition fees"", ""funding_type"": ""unknown"", ""repayable"": null, ""separate_application_required"": null}","{""amount"":15000,""currency"":""GBP""}","{""details"":""Scholarships View all scholarships Imperial Inspires Scholarships Value per award £15,000 per year for each year of the course."",""funding_type"":""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","Imperial Bursary The Imperial Bursary is available to all Home undergraduate students with a household income below £70,000 per year.",See funding provider deadlines,6.0,"{""minimum_each"": 6.5, ""minimum_overall"": 7, ""source_text"": ""English Language grade B/6. GCSE/IGCSE English Literature will not be accepted in lieu of GCSE/IGCSE English Language. IELTS 7.0 overall, with no subscore below 6.5 TOEFL iBT 100 overall, with no subscore below 22 An acceptable equivalent qualification Students eligible for a contextual offer or with a WP flag will be required to evidence English language proficiency at GCSE English Language grade C/4. This concession only applies to GCSE/IGCSE. See our contextual admissions page for full details and to check your eligibility. If you need to""}","{""audience"": null, ""minimum_overall_score"": 78, ""test"": ""TOEFL iBT""}",105,"{""requirement_status"": ""required"", ""test"": ""SAT""}","{""start_date"": ""2026-08-01""}",2026-01-22,2025-12-01,2027-01-13,True,https://opintopolku.fi/hakemus/hakukohde/1.2.246.562.20.00000000000000072536?lang=en,University Bachelor's degree,2.5,4.0,"[""Finnish matriculation examination"",""International Baccalaureate degree (IB)"",""European Baccalaureate degree (EB)"",""Deutsches Internationales Abitur degree (DIA) or Reifeprüfung degree (RP) in Finland"",""A Finnish vocational upper secondary qualification, further vocational qualification, or specialist vocational qualification as set in the Vocational Education Act (531/2017)"",""any other comparable upper secondary educational qualification that provides eligibility for university-level Bachelor’s studies in the country in question."",""Cambridge Assessment International Education A-level or Advanced International Certificate of Education degree (AICE)"",""has the right to study towards a university degree in Finland"",""holds a degree conferred by a Finnish higher education institution"",""holds at least a bachelor's level degree conferred by a foreign institution.""]",Required educational certificates,Reference,Personal statement,plus a portfolio demonstrating artistic ability,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}","{""occupation"": ""Information Technology Professionals"", ""percentage"": 85, ""period"": ""15 months after the course""}","{""cohort"":""BA (Hons) Computer Science graduates at University of Cambridge"",""employment_rate"":""90%"",""period"":""15 months after the course""}",3,0,5,33,13.16,2,0,40,0,100.00
Haaga-Helia University of Applied Sciences,Business Information Technology,FI,bachelor,computer science,haaga-helia-fi-canary,8606b6c5-bf41-54d1-87f7-95596c5d82cc,Business Information Technology,Bachelor's degree,3 ans,Vichy,Full time,English,Active,2026,EUR 12000 / annual (international),programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""academic_cycle"": null, ""amount"": null, ""audience"": null, ""automatic_consideration"": null, ""award_name"": null, ""currency"": null, ""details"": ""Applicants subject to tuition fees can apply for tuition waivers and scholarships during the university application process by completing the relevant section on the application form."", ""eligibility"": ""Applicants subject to tuition fees"", ""funding_type"": ""unknown"", ""repayable"": null, ""separate_application_required"": null}","{""amount"":15000,""currency"":""GBP""}","{""details"":""Scholarships View all scholarships Imperial Inspires Scholarships Value per award £15,000 per year for each year of the course."",""funding_type"":""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","Imperial Bursary The Imperial Bursary is available to all Home undergraduate students with a household income below £70,000 per year.",See funding provider deadlines,6.0,"{""minimum_each"": 6.5, ""minimum_overall"": 7, ""source_text"": ""English Language grade B/6. GCSE/IGCSE English Literature will not be accepted in lieu of GCSE/IGCSE English Language. IELTS 7.0 overall, with no subscore below 6.5 TOEFL iBT 100 overall, with no subscore below 22 An acceptable equivalent qualification Students eligible for a contextual offer or with a WP flag will be required to evidence English language proficiency at GCSE English Language grade C/4. This concession only applies to GCSE/IGCSE. See our contextual admissions page for full details and to check your eligibility. If you need to""}","{""audience"": null, ""minimum_overall_score"": 78, ""test"": ""TOEFL iBT""}",105,"{""requirement_status"": ""required"", ""test"": ""SAT""}","{""start_date"": ""2027-01-01""}",2026-04-08,2025-12-01,2027-01-13,True,https://opintopolku.fi/hakemus/hakukohde/1.2.246.562.20.00000000000000091904?lang=en,University Bachelor's degree,2.5,4.0,"[""Finnish matriculation examination"",""International Baccalaureate degree (IB)"",""European Baccalaureate degree (EB)"",""Deutsches Internationales Abitur degree (DIA) or Reifeprüfung degree (RP) in Finland"",""A Finnish vocational upper secondary qualification, further vocational qualification, or specialist vocational qualification as set in the Vocational Education Act (531/2017)"",""any other comparable upper secondary educational qualification that provides eligibility for university-level Bachelor’s studies in the country in question."",""Cambridge Assessment International Education A-level or Advanced International Certificate of Education degree (AICE)"",""has the right to study towards a university degree in Finland"",""holds a degree conferred by a Finnish higher education institution"",""holds at least a bachelor's level degree conferred by a foreign institution.""]",Required educational certificates,Reference,Personal statement,plus a portfolio demonstrating artistic ability,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}","{""occupation"": ""Information Technology Professionals"", ""percentage"": 85, ""period"": ""15 months after the course""}","{""cohort"":""BA (Hons) Computer Science graduates at University of Cambridge"",""employment_rate"":""90%"",""period"":""15 months after the course""}",6,2,10,28,26.32,3,2,40,0,100.00
Haaga-Helia University of Applied Sciences,International Business,FI,bachelor,business,haaga-helia-fi-canary,ee43edae-4df6-560b-b1fb-fe25f1cc0350,International Business,Bachelor's degree,3 ans,Bourg-en-Bresse,Full time,English,Active,2026,EUR 12000 / annual (international),programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""academic_cycle"": null, ""amount"": null, ""audience"": null, ""automatic_consideration"": null, ""award_name"": null, ""currency"": null, ""details"": ""Applicants subject to tuition fees can apply for tuition waivers and scholarships during the university application process by completing the relevant section on the application form."", ""eligibility"": ""Applicants subject to tuition fees"", ""funding_type"": ""unknown"", ""repayable"": null, ""separate_application_required"": null}","{""amount"":15000,""currency"":""GBP""}","{""details"":""Financial support and scholarships For general sources of financial support, see our Fees and funding pages."",""funding_type"":""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}",Students with children or dependant adults may qualify for a Childcare Grant or Adult Dependants' Grant.,See funding provider deadlines,6.0,"{""minimum_each"": 5.5, ""minimum_overall"": 6, ""source_text"": ""nables you to progress onto year 1 of this degree. English language requirements If English is not your first language, IELTS 6.0 overall with a minimum of 5.5 in each element. Find out about the other English qualifications that we accept . Studied before or got relevant experience? If you have suitable qualifications, credits from a previous university course or relevant professional experience, these could count towards your course at Brighton and you could start the course in year 2 or 3. Transferring from another university Thinking about""}","{""audience"": null, ""minimum_overall_score"": 78, ""test"": ""TOEFL iBT""}",105,"{""requirement_status"": ""required"", ""test"": ""GMAT/GRE""}","{""start_date"": ""2027-01-01""}",2026-04-08,2025-12-01,2027-01-13,True,https://opintopolku.fi/hakemus/hakukohde/1.2.246.562.20.00000000000000088243?lang=en,University Bachelor's degree,2.5,4.0,"[""Finnish matriculation examination"",""International Baccalaureate degree (IB)"",""European Baccalaureate degree (EB)"",""Deutsches Internationales Abitur degree (DIA) or Reifeprüfung degree (RP) in Finland"",""A Finnish vocational upper secondary qualification, further vocational qualification, or specialist vocational qualification as set in the Vocational Education Act (531/2017)"",""any other comparable upper secondary educational qualification that provides eligibility for university-level Bachelor’s studies in the country in question."",""Cambridge Assessment International Education A-level or Advanced International Certificate of Education degree (AICE)"",""has the right to study towards a university degree in Finland"",""holds a degree conferred by a Finnish higher education institution"",""holds at least a bachelor's level degree conferred by a foreign institution.""]",Completing your qualification in autumn 2026; Work certificates; Bachelor´s degree (or higher) completed in Finland before 1995; Passport or residence permit to Finland; Special arrangements in the entrance examinations; Work Experience Template (CV); Bachelor´s degree (or higher) completed outside Finland; GMAT Exam or GRE test results,Reference,Personal statement,plus a portfolio demonstrating artistic ability,"{""details"": ""Relevant work experience may be considered if you do not meet the above criteria"", ""requirement_status"": ""conditional""}","[{""outcome_type"":""graduate_perception"",""period"":""15 months after graduation"",""population"":""Agriculture, food and related studies graduates at Askham Bryan College"",""statement"":""100% of graduates find their current work meaningful""},{""outcome_type"":""graduate_perception"",""period"":""15 months after graduation"",""population"":""Agriculture, food and related studies graduates at Askham Bryan College"",""statement"":""80% Usefulness I am utilising what I learnt during my studies in my current work.""},{""outcome_type"":""graduate_perception"",""period"":""15 months after graduation"",""population"":""Agriculture, food and related studies graduates at Askham Bryan College"",""statement"":""100% Meaningfulness My current work is meaningful.""},{""amount"":18500,""currency"":""GBP"",""outcome_type"":""median_earnings"",""period"":""3 years after the course"",""population"":""Animal science graduates at Askham Bryan College""},{""outcome_type"":""graduate_perception"",""period"":""15 months after graduation"",""population"":""Agriculture, food and related studies graduates at Askham Bryan College"",""statement"":""80% Future My current work fits with my future plans.""}]","{""audience"": null, ""outcome_type"": ""employment_or_study_rate"", ""percentage"": 80, ""period"": ""15 months after the course"", ""population"": ""Agriculture, food and related studies graduates at Askham Bryan College""}",7,1,10,28,26.32,4,1,40,0,100.00
University of Eastern Finland,Data Engineering,FI,bachelor,computer science,uef-fi-canary,67ef7389-04ec-5e55-94cc-49456ef74cb3,Data Engineering,Bachelor's degree,3 ans,Vichy,Full time,English,Active,2026,"{""academic_cycle"":null,""amount"":10000,""audience"":""international"",""credential"":""non-EU/EEA students"",""currency"":""EUR"",""fee_period"":""year""}",programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""academic_cycle"": null, ""amount"": null, ""audience"": null, ""automatic_consideration"": null, ""award_name"": null, ""currency"": null, ""details"": ""Applicants subject to tuition fees can apply for tuition waivers and scholarships during the university application process by completing the relevant section on the application form."", ""eligibility"": ""Applicants subject to tuition fees"", ""funding_type"": ""unknown"", ""repayable"": null, ""separate_application_required"": null}","{""amount"":15000,""currency"":""GBP""}","{""details"":""Scholarships View all scholarships Imperial Inspires Scholarships Value per award £15,000 per year for each year of the course."",""funding_type"":""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","Imperial Bursary The Imperial Bursary is available to all Home undergraduate students with a household income below £70,000 per year.",See funding provider deadlines,6.0,"{""minimum_each"": 6.5, ""minimum_overall"": 7, ""source_text"": ""English Language grade B/6. GCSE/IGCSE English Literature will not be accepted in lieu of GCSE/IGCSE English Language. IELTS 7.0 overall, with no subscore below 6.5 TOEFL iBT 100 overall, with no subscore below 22 An acceptable equivalent qualification Students eligible for a contextual offer or with a WP flag will be required to evidence English language proficiency at GCSE English Language grade C/4. This concession only applies to GCSE/IGCSE. See our contextual admissions page for full details and to check your eligibility. If you need to""}","{""audience"": null, ""minimum_overall_score"": 78, ""test"": ""TOEFL iBT""}",105,"{""audience"": null, ""details"": ""SAT scores listed as required application document; SAT-based admission available for refugees"", ""requirement_status"": ""required"", ""test"": ""SAT""}","{""application_route"": ""Joint Application to Higher Education, Spring 2026"", ""start_term"": null}",2026-01-21,2025-12-01,2027-01-13,True,https://opintopolku.fi/hakemus/hakukohde/1.2.246.562.20.00000000000000076744?lang=en,University Bachelor's degree,2.5,4.0,"[""Finnish matriculation examination"",""International Baccalaureate degree (IB)"",""European Baccalaureate degree (EB)"",""Deutsches Internationales Abitur degree (DIA) or Reifeprüfung degree (RP) in Finland"",""A Finnish vocational upper secondary qualification, further vocational qualification, or specialist vocational qualification as set in the Vocational Education Act (531/2017)"",""any other comparable upper secondary educational qualification that provides eligibility for university-level Bachelor’s studies in the country in question."",""Cambridge Assessment International Education A-level or Advanced International Certificate of Education degree (AICE)"",""has the right to study towards a university degree in Finland"",""holds a degree conferred by a Finnish higher education institution"",""holds at least a bachelor's level degree conferred by a foreign institution.""]",SAT scores,Reference,Personal statement,plus a portfolio demonstrating artistic ability,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}","{""occupation"": ""Information Technology Professionals"", ""percentage"": 85, ""period"": ""15 months after the course""}","{""cohort"":""BA (Hons) Computer Science graduates at University of Cambridge"",""employment_rate"":""90%"",""period"":""15 months after the course""}",8,1,13,25,34.21,5,1,40,0,100.00
University of Eastern Finland,Information Technology,FI,bachelor,computer science,uef-fi-canary,c4ca6963-813a-5121-a844-b24e4ffc1097,Information Technology,Bachelor's degree,3 ans,Vichy,Full time,English,Active,2026,EUR 10000 / annual (international),programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""academic_cycle"": ""2026-2027"", ""amount"": null, ""audience"": null, ""automatic_consideration"": null, ""award_name"": null, ""currency"": null, ""details"": ""Applicants subject to tuition fees can apply for tuition waivers and scholarships during the university application process by completing the relevant section on the application form."", ""eligibility"": ""Applicants subject to tuition fees"", ""funding_type"": ""unknown"", ""repayable"": null, ""separate_application_required"": null}","{""amount"":15000,""currency"":""GBP""}","{""details"":""Scholarships View all scholarships Imperial Inspires Scholarships Value per award £15,000 per year for each year of the course."",""funding_type"":""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","Imperial Bursary The Imperial Bursary is available to all Home undergraduate students with a household income below £70,000 per year.",See funding provider deadlines,6.0,"{""minimum_each"": 6.5, ""minimum_overall"": 7, ""source_text"": ""English Language grade B/6. GCSE/IGCSE English Literature will not be accepted in lieu of GCSE/IGCSE English Language. IELTS 7.0 overall, with no subscore below 6.5 TOEFL iBT 100 overall, with no subscore below 22 An acceptable equivalent qualification Students eligible for a contextual offer or with a WP flag will be required to evidence English language proficiency at GCSE English Language grade C/4. This concession only applies to GCSE/IGCSE. See our contextual admissions page for full details and to check your eligibility. If you need to""}","{""audience"": null, ""minimum_overall_score"": 78, ""test"": ""TOEFL iBT""}",105,"[{""minimum_overall_score"":6.0,""test"":""IELTS""},{""minimum_overall_score"":78,""test"":""TOEFL iBT""},{""minimum_overall_score"":54,""test"":""PTE (academic)""}]","{""academic_cycle"": ""2026"", ""application_route"": ""Joint Application to Higher Education, Spring 2026""}",2026-01-21,2025-12-01,2027-01-13,True,https://opintopolku.fi/hakemus/hakukohde/1.2.246.562.20.00000000000000076731?lang=en,University Bachelor's degree,2.5,4.0,"[""Finnish matriculation examination"",""International Baccalaureate degree (IB)"",""European Baccalaureate degree (EB)"",""Deutsches Internationales Abitur degree (DIA) or Reifeprüfung degree (RP) in Finland"",""A Finnish vocational upper secondary qualification, further vocational qualification, or specialist vocational qualification as set in the Vocational Education Act (531/2017)"",""any other comparable upper secondary educational qualification that provides eligibility for university-level Bachelor’s studies in the country in question."",""Cambridge Assessment International Education A-level or Advanced International Certificate of Education degree (AICE)"",""has the right to study towards a university degree in Finland"",""holds a degree conferred by a Finnish higher education institution"",""holds at least a bachelor's level degree conferred by a foreign institution.""]",Certificates,Reference,Personal statement,plus a portfolio demonstrating artistic ability,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}","{""occupation"": ""Information Technology Professionals"", ""percentage"": 85, ""period"": ""15 months after the course""}","{""cohort"":""BA (Hons) Computer Science graduates at University of Cambridge"",""employment_rate"":""90%"",""period"":""15 months after the course""}",8,0,13,25,34.21,4,0,40,0,100.00
CESI école d'ingénieurs - campus de Nice,diplôme d'ingénieur du CESI,FR,master,engineering,onisep-fr-stage1-025,3e73f74a-32b2-5791-bced-eab789f0add1,diplôme d'ingénieur du CESI,diplôme d'ingénieur,3 ans,Nice,"temps plein, cours en présentiel (3 ans CI généraliste)",Tous les cours sont uniquement enseignés en Anglais,Active,2026,EUR 8500 / year,programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""academic_cycle"":null,""amount"":null,""automatic_consideration"":null,""award_name"":null,""currency"":null,""details"":""gratuit en apprentissage"",""eligibility"":null,""funding_type"":""financial_aid_policy"",""repayable"":null,""separate_application_required"":null}",Varies,Funding options may be available,Varies,"Eligibility varies by citizenship, merit, and financial need",See funding provider deadlines,5,6.0 each,80,120,English proficiency test requirement varies,"{""start_date"": ""2027-08-01""}",2027-01-05,2025-12-01,2026-01-15,Not specified,https://univ-cotedazur.fr/servlet/com.jsbsoft.jtf.core.SG?%23ECRAN_LOGIQUE%23=RECHERCHE&PROC=RECHERCHE&ACTION=VALIDER&RH=1595659207794&OBJET=FORMATION&LANGUE=0&FORMATION_INITIALE=&REPRISE_ETUDES=&PARTIELLEMENT_DISTANCE=&TOTALEMENT_DISTANCE=&ALTERNANCE=&LIBELLE=&GRADE=0000&TYPE_DIPLOME=MASTER&FORMATION=0000&MODALITE=ALTERNANCE&DOMAINE_LMD=0000,University Bachelor's degree,3.0,4.0,"Grundläggande behörighet och minst 7,5 hp arkivvetenskap eller motsvarande kunskap samt 1 års arbetslivserfarenhet inom arkivsektorn.",Application form; CV or resume; transcripts; degree certificate; language proof; passport,2 recommendation letters,Statement of purpose or motivation letter,Portfolio requirement depends on the programme,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}",Career opportunities related to engineering,Career opportunities related to engineering,6,0,7,31,18.42,1,0,40,0,100.00
CESI école d'ingénieurs - campus de Nice,diplôme d'ingénieur du CESI spécialité informatique,FR,master,computer science,onisep-fr-stage1-025,23a1be45-6364-5f9d-aaaf-2dfa117a3fc9,diplôme d'ingénieur du CESI spécialité informatique,diplôme d'ingénieur,3 ans,Nice,"temps plein, cours en présentiel (3 ans CI informatique)",Tous les cours sont uniquement enseignés en Anglais,Active,2026,EUR 8500 / year,programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""academic_cycle"":null,""amount"":null,""automatic_consideration"":null,""award_name"":null,""currency"":null,""details"":""gratuit en apprentissage"",""eligibility"":null,""funding_type"":""financial_aid_policy"",""repayable"":null,""separate_application_required"":null}",Varies,Funding options may be available,Varies,"Eligibility varies by citizenship, merit, and financial need",See funding provider deadlines,5,6.0 each,80,120,English proficiency test requirement varies,"{""start_date"": ""2027-08-01""}",2027-01-05,2025-12-01,2026-01-15,Not specified,https://www.eurecom.fr/fr/les-formations/master-en-informatique,University Bachelor's degree,3.0,4.0,"Grundläggande behörighet och minst 7,5 hp arkivvetenskap eller motsvarande kunskap samt 1 års arbetslivserfarenhet inom arkivsektorn.",Application form; CV or resume; transcripts; degree certificate; language proof; passport,2 recommendation letters,Statement of purpose or motivation letter,Portfolio requirement depends on the programme,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}",Career opportunities related to computer science,Career opportunities related to computer science,6,1,7,31,18.42,1,1,40,0,100.00
"Campus Carlone Lettres, Arts et Sciences humaines",licence mention histoire,FR,bachelor,other,onisep-fr-stage1-022,5d6d82c7-4eae-5e59-850c-4fdc44bc1b9e,licence mention histoire,licence,3 ans,Nice,"temps plein, cours en présentiel",Français,Active,2026 HT,"{""credential"": ""tuition fee"", ""currency"": ""EUR"", ""fee_period"": ""annual"", ""maximum_amount"": 23700, ""minimum_amount"": 11850, ""source_text"": ""de 11850 euros jusqu'à 23700 euros en 2025 (de 3950 à 7900 euros par an selon les revenus)""}",programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""details"": ""Bursaries, scholarships and part-time work We offer a range of scholarships and bursaries for UK and international students , which provide extra financial support while you’re at university."", ""funding_type"": ""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","{""details"":""Have the opportunity to participate in competitions and other professional opportunities, including the Carleton Hobbs Bursary Award (radio), the Sam Wanamaker Festival (The Globe) and The Spotlight Prize (Industry)."",""funding_type"":""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","If you're eligible for a scholarship, you'll generally receive it automatically – there's no need to apply.",See funding provider deadlines,6,"{""minimum_each"": 6.5, ""minimum_overall"": 7, ""source_text"": ""equire a Student visa to study in the UK are welcome to apply for entry in September 2026 Test Grade Additional details IELTS (Academic) 7 with no less than 6.5 in each section TOEFL (iBT) 100 with minimum scores of 19 in Writing and Listening, 19 in Reading, 20 in Speaking If your qualification is not listed here, please take a look at our international entry requirements page or get in touch with our admissions team on the form below. Please note, to be accepted onto this course; you will also need to demonstrate that you meet the minimum standards o""}",100,105,"[""SAT or 33 in ACT""]","{""periodNumber"": 4, ""semester"": ""HT"", ""year"": 2026}",2026-04-15,2025-12-01,2027-01-13,True,https://univ-cotedazur.fr/formation/offre-de-formation/licence-histoire,Secondary school diploma,2.5,4.0,"Kurs motsvarande ABMM32 Arkivvetenskap: Förmedling och tillhandahållande, 7,5 hp, ABMM52 Biblioteks- och informationsvetenskap: Informationssökning och förmedling, 7,5 hp, eller ABMM72 Museologi: Materiell, immateriell och visuell kultur, 7,5 hp",academic qualifications; a personal statement; evidence of your English language skills (with relevant qualifications); a reference,Reference,Personal statement,plus a portfolio demonstrating artistic ability,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}","{""data_period"": ""students graduating 2021-23"", ""measure"": ""graduates find their current work meaningful"", ""note"": ""data displayed is from students on this and other courses in Finance"", ""outcome_period"": ""15 months after graduation"", ""percentage"": 80}","{""audience"": null, ""description"": ""go on to work and/or study 15 months after the course"", ""outcome_type"": ""employment_rate"", ""percentage"": 85, ""population"": ""Creative arts and design graduates at Anglia Ruskin University""}",6,0,6,32,15.79,1,0,40,0,100.00
"Campus Carlone Lettres, Arts et Sciences humaines","licence mention langues, littératures et civilisations étrangères et régionales",FR,bachelor,other,onisep-fr-stage1-022,19e02a28-bc70-55c1-9b7d-cac9d5fb648e,"licence mention langues, littératures et civilisations étrangères et régionales",licence,3 ans,Nice,"temps plein, cours en présentiel",Français,Active,2026 HT,"{""credential"": ""tuition fee"", ""currency"": ""EUR"", ""fee_period"": ""annual"", ""maximum_amount"": 23700, ""minimum_amount"": 11850, ""source_text"": ""de 11850 euros jusqu'à 23700 euros en 2025 (de 3950 à 7900 euros par an selon les revenus)""}",programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""details"": ""Bursaries, scholarships and part-time work We offer a range of scholarships and bursaries for UK and international students , which provide extra financial support while you’re at university."", ""funding_type"": ""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","{""details"":""Have the opportunity to participate in competitions and other professional opportunities, including the Carleton Hobbs Bursary Award (radio), the Sam Wanamaker Festival (The Globe) and The Spotlight Prize (Industry)."",""funding_type"":""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","If you're eligible for a scholarship, you'll generally receive it automatically – there's no need to apply.",See funding provider deadlines,6,"{""minimum_each"": 6.5, ""minimum_overall"": 7, ""source_text"": ""equire a Student visa to study in the UK are welcome to apply for entry in September 2026 Test Grade Additional details IELTS (Academic) 7 with no less than 6.5 in each section TOEFL (iBT) 100 with minimum scores of 19 in Writing and Listening, 19 in Reading, 20 in Speaking If your qualification is not listed here, please take a look at our international entry requirements page or get in touch with our admissions team on the form below. Please note, to be accepted onto this course; you will also need to demonstrate that you meet the minimum standards o""}",100,105,"[""SAT or 33 in ACT""]","{""periodNumber"": 4, ""semester"": ""HT"", ""year"": 2026}",2026-04-15,2025-12-01,2027-01-13,True,https://univ-cotedazur.fr/formation/offre-de-formation/licence-langues-litteratures-et-civilisations-etrangeres-et-regionales,Secondary school diploma,2.5,4.0,"Kurs motsvarande ABMM32 Arkivvetenskap: Förmedling och tillhandahållande, 7,5 hp, ABMM52 Biblioteks- och informationsvetenskap: Informationssökning och förmedling, 7,5 hp, eller ABMM72 Museologi: Materiell, immateriell och visuell kultur, 7,5 hp",academic qualifications; a personal statement; evidence of your English language skills (with relevant qualifications); a reference,Reference,Personal statement,plus a portfolio demonstrating artistic ability,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}","{""data_period"": ""students graduating 2021-23"", ""measure"": ""graduates find their current work meaningful"", ""note"": ""data displayed is from students on this and other courses in Finance"", ""outcome_period"": ""15 months after graduation"", ""percentage"": 80}","{""audience"": null, ""description"": ""go on to work and/or study 15 months after the course"", ""outcome_type"": ""employment_rate"", ""percentage"": 85, ""population"": ""Creative arts and design graduates at Anglia Ruskin University""}",6,0,6,32,15.79,1,0,40,0,100.00
